"COUNTRY"	"CATTLEDENS2000"	"CATTLEDENS2010"	"CATT.DIFF.00.10"	"CATT.DIFF.00.10.rel"
"Afghanistan"	0.08	0.15	0.07	87.5
"Albania"	0.64	0.41	-0.23	-35.9375
"Algeria"	0.04	0.04	0	0
"American Samoa"	0.02	0.02	0	0
"Angola"	0.07	0.08	0.01	14.2857142857143
"Antigua and Barbuda"	1.46	1.62	0.16	10.9589041095891
"Argentina"	0.38	0.33	-0.05	-13.1578947368421
"Armenia"	0.36	0.33	-0.03	-8.33333333333333
"Australia"	0.06	0.07	0.01	16.6666666666667
"Austria"	0.64	0.64	0	0
"Azerbaijan"	0.41	0.56	0.15	36.5853658536586
"Bahamas"	0.05	0.05	0	0
"Bahrain"	1.2	1.2	0	0
"Bangladesh"	2.47	2.64	0.17	6.88259109311741
"Barbados"	1.28	0.79	-0.49	-38.28125
"Belarus"	0.47	0.47	0	0
"Belgium"	2.19	1.91	-0.28	-12.7853881278539
"Belize"	0.35	0.58	0.23	65.7142857142857
"Benin"	0.48	0.59	0.11	22.9166666666667
"Bermuda"	0.6	0.88	0.28	46.6666666666667
"Bhutan"	0.67	0.6	-0.0700000000000001	-10.4477611940299
"Bolivia (Plurinational State of)"	0.18	0.22	0.04	22.2222222222222
"Bosnia and Herzegovina"	0.22	0.22	0	0
"Botswana"	0.1	0.1	0	0
"Brazil"	0.65	0.77	0.12	18.4615384615385
"British Virgin Islands"	0.34	0.34	0	0
"Brunei Darussalam"	0.69	0.44	-0.25	-36.231884057971
"Bulgaria"	0.12	0.11	-0.01	-8.33333333333333
"Burkina Faso"	0.49	0.7	0.21	42.8571428571428
"Burundi"	0.16	0.26	0.1	62.5
"Côte d'Ivoire"	0.07	0.08	0.01	14.2857142857143
"Cambodia"	0.77	0.74	-0.03	-3.8961038961039
"Cameroon"	0.64	0.53	-0.11	-17.1875
"Canada"	0.2	0.21	0.00999999999999998	4.99999999999999
"Cape Verde"	0.3	0.61	0.31	103.333333333333
"Cayman Islands"	0.67	0.76	0.09	13.4328358208955
"Central African Republic"	0.61	0.77	0.16	26.2295081967213
"Chad"	0.12	0.15	0.03	25
"Chile"	0.27	0.24	-0.03	-11.1111111111111
"China"	0.24	0.21	-0.03	-12.5
"Colombia"	0.54	0.65	0.11	20.3703703703704
"Comoros"	0.35	0.32	-0.03	-8.57142857142856
"Congo"	0.01	0.03	0.02	200
"Cook Islands"	0.03	0.04	0.01	33.3333333333333
"Costa Rica"	0.74	0.72	-0.02	-2.70270270270271
"Croatia"	0.36	0.33	-0.03	-8.33333333333333
"Cuba"	0.63	0.61	-0.02	-3.17460317460318
"Cyprus"	0.38	0.48	0.1	26.3157894736842
"Czech Republic"	0.37	0.31	-0.06	-16.2162162162162
"Democratic People's Republic of Korea"	0.23	0.23	0	0
"Democratic Republic of the Congo"	0.03	0.03	0	0
"Denmark"	0.71	0.6	-0.11	-15.4929577464789
"Djibouti"	0.19	0.17	-0.02	-10.5263157894737
"Dominica"	0.64	0.52	-0.12	-18.75
"Dominican Republic"	0.8	1.19	0.39	48.75
"Ecuador"	0.56	0.7	0.14	25
"Egypt"	2.1	2.33	0.23	10.952380952381
"El Salvador"	0.7	0.82	0.12	17.1428571428571
"Equatorial Guinea"	0.01	0.02	0.01	100
"Eritrea"	0.29	0.27	-0.02	-6.89655172413792
"Estonia"	0.27	0.25	-0.02	-7.40740740740741
"Ethiopia"	1.08	1.45	0.37	34.2592592592592
"Falkland Islands (Malvinas)"	0	0	0	0
"Faroe Islands"	0.67	0.67	0	0
"Fiji"	0.78	0.73	-0.05	-6.41025641025642
"Finland"	0.48	0.4	-0.08	-16.6666666666667
"France"	0.68	0.67	-0.01	-1.47058823529412
"French Guiana"	0.4	0.61	0.21	52.5
"French Polynesia"	0.26	0.16	-0.1	-38.4615384615385
"Gabon"	0.01	0.01	0	0
"Gambia"	0.66	0.69	0.0299999999999999	4.54545454545453
"Georgia"	0.39	0.42	0.03	7.69230769230768
"Germany"	0.86	0.77	-0.09	-10.4651162790698
"Ghana"	0.09	0.09	0	0
"Greece"	0.07	0.08	0.01	14.2857142857143
"Greenland"	0	0	0	0
"Grenada"	0.37	0.4	0.03	8.10810810810812
"Guadeloupe"	1.33	1.73	0.4	30.0751879699248
"Guam"	0.01	0.01	0	0
"Guatemala"	0.56	0.75	0.19	33.9285714285714
"Guinea"	0.21	0.34	0.13	61.9047619047619
"Guinea-Bissau"	0.31	0.39	0.08	25.8064516129032
"Guyana"	0.07	0.07	0	0
"Haiti"	0.85	0.82	-0.03	-3.52941176470589
"Honduras"	0.61	0.84	0.23	37.7049180327869
"Hungary"	0.15	0.13	-0.02	-13.3333333333333
"Iceland"	0.04	0.05	0.01	25
"India"	1.57	1.79	0.22	14.0127388535032
