"ISO3"	"COUNTRY"	"FORAREA90"	"FORAREA00"	"FORAREA05"	"FORAREA10"	"AREATOT"	"FORAREAREL.10"	"DIFF.90.00"	"DIFF.00.10"	"ANDIFF.90.00"	"ANDIFF.00.10"	"ANDIFF.90.00.rel"	"ANDIFF.00.10.rel"
"ABW"	"Aruba"	0.42	0.42	0.42	0.42	18	" 2.33333"	0	0	0	0	0	0
"AFG"	"Afghanistan"	1350	1350	1350	1350	65209	" 2.07027"	0	0	0	0	0	0
"AGO"	"Angola"	60976	59728	59104	58480	124670	"46.90784"	-1248	-1248	-124.8	-124.8	-0.2047	-0.2089
"AIA"	"Anguilla"	5.5	5.5	5.5	5.5	9.1	"60.43956"	0	0	0	0	0	0
"ALB"	"Albania"	789	769	782	776.3	2875	"27.00174"	-20	7.29999999999995	-2	0.729999999999995	-0.2535	0.0949
"AND"	"Andorra"	16	16	16	16	45	"35.55556"	0	0	0	0	0	0
"ANT"	"Netherlands Antilles"	1.18	1.18	1.18	1.18	80	" 1.47500"	0	0	0	0	0	0
"ARE"	"United Arab Emirates"	245	310	312	317.3	8360	" 3.79545"	65	7.30000000000001	6.5	0.730000000000001	2.6531	0.2355
"ARG"	"Argentina"	34793	31861	30599	29400	278040	"10.57402"	-2932	-2461	-293.2	-246.1	-0.8427	-0.7724
"ARM"	"Armenia"	347	304	283	262	2980	" 8.79195"	-43	-42	-4.3	-4.2	-1.2392	-1.3816
"ASM"	"American Samoa"	18.388	18.05	17.881	17.712	20	"88.56000"	-0.338000000000001	-0.338000000000001	-0.0338000000000001	-0.0338000000000001	-0.1838	-0.1873
"ATG"	"Antigua and Barbuda"	10.3	10	9.8	9.8	44	"22.27273"	-0.300000000000001	-0.199999999999999	-0.0300000000000001	-0.0199999999999999	-0.2913	-0.2
"AUS"	"Australia"	154500	154920	153920	149300	774120	"19.28642"	420	-5620	42	-562	0.0272	-0.3628
"AUT"	"Austria"	3776	3838	3862	3887	8387	"46.34553"	62	49	6.2	4.9	0.1642	0.1277
"AZE"	"Azerbaijan"	936	936	936	936	8660.1	"10.80819"	0	0	0	0	0	0
"BDI"	"Burundi"	289	198	181	172	2783	" 6.18038"	-91	-26	-9.1	-2.6	-3.1488	-1.3131
"BEL"	"Belgium"	677.4	667.3	672.6	677.8	3052.8	"22.20257"	-10.1	10.5	-1.01	1.05	-0.1491	0.1574
"BEN"	"Benin"	5761	5061	4811	4561	11262	"40.49902"	-700	-500	-70	-50	-1.2151	-0.9879
"BFA"	"Burkina Faso"	6847	6248	5949	5649	27400	"20.61679"	-599	-599	-59.9	-59.9	-0.8748	-0.9587
"BGD"	"Bangladesh"	1494	1468	1455	1442	14400	"10.01389"	-26	-26	-2.6	-2.6	-0.174	-0.1771
"BGR"	"Bulgaria"	3327	3375	3651	3927	11100	"35.37838"	48	552	4.8	55.2	0.1443	1.6356
"BHR"	"Bahrain"	0.216	0.371	0.448	0.526	71	" 0.74085"	0.155	0.155	0.0155	0.0155	7.1759	4.1779
"BHS"	"Bahamas"	515	515	515	515	1387.7	"37.11177"	0	0	0	0	0	0
"BIH"	"Bosnia and Herzegovina"	2210	2185	2185	2185	5121	"42.66745"	-25	0	-2.5	0	-0.1131	0
"BLM"	"Saint Barthelemy"	0	0	0	0	2.1	" 0.00000"	0	0	0	0	0	0
"BLR"	"Belarus"	7780	8273	8436	8630	20760	"41.57033"	493	357	49.3	35.7	0.6337	0.4315
"BLZ"	"Belize"	1586	1489	1441	1393	2297	"60.64432"	-97	-96	-9.7	-9.6	-0.6116	-0.6447
"BMU"	"Bermuda"	1	1	1	1	5	"20.00000"	0	0	0	0	0	0
"BOL"	"Bolivia, Plurinational State of"	62795	60091	58734	57196	109858	"52.06357"	-2704	-2895	-270.4	-289.5	-0.4306	-0.4818
"BRA"	"Brazil"	574839	545943	530494	519522	851487	"61.01350"	-28896	-26421	-2889.6	-2642.1	-0.5027	-0.484
"BRB"	"Barbados"	8.36	8.36	8.36	8.36	43	"19.44186"	0	0	0	0	0	0
"BRN"	"Brunei Darussalam"	413	397	389	380	577	"65.85789"	-16	-17	-1.6	-1.7	-0.3874	-0.4282
"BTN"	"Bhutan"	3035	3141	3195	3249	4700	"69.12766"	106	108	10.6	10.8	0.3493	0.3438
"BWA"	"Botswana"	13718	12535	11943	11351	58173	"19.51249"	-1183	-1184	-118.3	-118.4	-0.8624	-0.9446
"CAF"	"Central African Republic"	23203	22903	22755	22605	62300	"36.28411"	-300	-298	-30	-29.8	-0.1293	-0.1301
"CAN"	"Canada"	310134	310134	310134	310134	998467	"31.06102"	0	0	0	0	0	0
"CHE"	"Switzerland"	1151	1194	1217	1240	4128	"30.03876"	43	46	4.3	4.6	0.3736	0.3853
"CHL"	"Chile"	15263	15834	16043	16231	75663	"21.45170"	571	397	57.1	39.7	0.3741	0.2507
"CHN"	"China"	157140.6	177000.5	193043.9	206860.6	960000	"21.54798"	19859.9	29860.1	1985.99	2986.01	1.2638	1.687
"CIV"	"Cote d'Ivoire"	10222	10328	10405	10403	32246	"32.26137"	106	75	10.6	7.5	0.1037	0.0726
"CMR"	"Cameroon"	24316	22116	21016	19916	47544	"41.88962"	-2200	-2200	-220	-220	-0.9048	-0.9948
"COD"	"Congo, The Democratic Republic of the"	160363	157249	155692	154135	234486	"65.73314"	-3114	-3114	-311.4	-311.4	-0.1942	-0.198
"COG"	"Congo"	22726	22556	22471	22411	34200	"65.52924"	-170	-145	-17	-14.5	-0.0748	-0.0643
"COK"	"Cook Islands"	14.9	15.5	15.5	15.5	24	"64.58333"	0.6	0	0.06	0	0.4027	0
"COL"	"Colombia"	62519	61509	61004	60499	114175	"52.98796"	-1010	-1010	-101	-101	-0.1616	-0.1642
"COM"	"Comoros"	12	8	5	3	186	" 1.61290"	-4	-5	-0.4	-0.5	-3.3333	-6.25
"CPV"	"Cape Verde"	57.75	82.09	83.59	85.09	403	"21.11414"	24.34	3	2.434	0.3	4.2147	0.3655
"CRI"	"Costa Rica"	2564	2376	2491	2605	5110	"50.97847"	-188	229	-18.8	22.9	-0.7332	0.9638
"CUB"	"Cuba"	2058	2435	2697	2870	11086	"25.88851"	377	435	37.7	43.5	1.8319	1.7864
"CYM"	"Cayman Islands"	12.7	12.7	12.7	12.7	26	"48.84615"	0	0	0	0	0	0
"CYP"	"Cyprus"	161.11	171.61	172.851	173.182	925.15	"18.71934"	10.5	1.57199999999997	1.05	0.157199999999997	0.6517	0.0916
"CZE"	"Czech Republic"	2629	2637	2647	2657	7887	"33.68835"	8	20	0.8	2	0.0304	0.0758
"DEU"	"Germany"	10741	11076	11076	11076	35705	"31.02087"	335	0	33.5	0	0.3119	0
"DJI"	"Djibouti"	5.6	5.6	5.6	5.6	2319.6	" 0.24142"	0	0	0	0	0	0
"DMA"	"Dominica"	50	47.33	45.99	44.66	75	"59.54667"	-2.67	-2.67	-0.267	-0.267	-0.534	-0.5641
"DNK"	"Denmark"	445	486	534	544	4310	"12.62181"	41	58	4.1	5.8	0.9213	1.1934
"DOM"	"Dominican Republic"	1972	1972	1972	1972	4874	"40.45958"	0	0	0	0	0	0
"DZA"	"Algeria"	1667	1579	1536	1492	238174	" 0.62643"	-88	-87	-8.8	-8.7	-0.5279	-0.551
"ECU"	"Ecuador"	13817	11841	10853	9865	28356	"34.78982"	-1976	-1976	-197.6	-197.6	-1.4301	-1.6688
"EGY"	"Egypt"	44	59	67	70	100145	" 0.06990"	15	11	1.5	1.1	3.4091	1.8644
