"ISO3"	"COUNTRY"	"FOREXVAL2000"	"TOTEXVAL2000"	"FOREXSHARE2000"	"FOREXVAL2010"	"TOTEXVAL2010"	"FOREXSHARE2010"	"FOREXSHAREDIF.00.10"
"AFG"	"Afghanistan"	150000	1.37e+08	0.109489051094891	5362000	388483635	1.38023832072103	1.27074926962614
"AGO"	"Angola"	4874000	7702600000	0.0632773349258692	4442000	46491500000	0.00955443468160847	-0.0537229002442607
"ALB"	"Albania"	1156000	261475781	0.442105955503389	2388000	1549955724	0.1540689171325	-0.288037038370889
"AND"	"Andorra"	20000	45329043	0.0441218227351502	20000	53839154	0.0371476862359316	-0.00697413649921861
"ANT"	"Neth. Antilles"	18000	2008834000	0.000896042181683504	10000	8e+08	0.00125	0.000353957818316496
"ARE"	"United Arab Emirates"	0	49835300000	0	6666000	1.98362e+11	0.00336052268075539	0.00336052268075539
"ARG"	"Argentina"	10710000	26341029193	0.0406590035701647	7800000	68187227424	0.0114390924732843	-0.0292199110968805
"ARM"	"Armenia"	488000	294102939	0.165928297642752	30000	1011424747	0.00296611291042496	-0.162962184732327
"AUS"	"Australia"	74612000	63766371743	0.117008382256264	283816000	212364382224	0.133645763488076	0.0166373812318113
"AUT"	"Austria"	138864000	63674699062	0.218083480637715	223998000	144882002012	0.154607195434425	-0.0634762852032902
"AZE"	"Azerbaijan"	342000	1745251936	0.0195960246738841	2000	21278419980	9.39919412193123e-06	-0.0195866254797622
"BDI"	"Burundi"	0	42854751	0	850000	118157916	0.719376262526499	0.719376262526499
"BEL"	"Belgium"	187954000	184794665606	0.101709645883792	239616000	411084820412	0.0582887005557273	-0.0434209453280646
"BEN"	"Benin"	388000	189795148	0.204430937296669	64134000	434473748	14.7613061307446	14.556875193448
"BFA"	"Burkina Faso"	NA	NA	NA	92000	1203015895	0.0076474467529791	NA
"BGD"	"Bangladesh"	27776000	5493226431	0.505640907923462	208000	14194541577	0.00146535200782413	-0.504175555915638
"BGR"	"Bulgaria"	19384000	4821825024	0.402005462734933	80952000	20608005156	0.392818224700564	-0.00918723803436861
"BHR"	"Bahrain"	0	6194679351	0	974000	16059213418	0.00606505421310542	0.00606505421310542
"BHS"	"Bahamas"	0	575900000	0	14000	620143299	0.00225754273610235	0.00225754273610235
"BIH"	"Bosnia Herzegovina"	13618000	1067385000	1.27582830937291	87544000	4803107191	1.82265347240301	0.5468251630301
"BLR"	"Belarus"	42158000	7331059000	0.575060165250341	202974000	25225864400	0.804626540369415	0.229566375119074
"BLZ"	"Belize"	0	200215099	0	1284000	282039532	0.455255329242285	0.455255329242285
"BOL"	"Bolivia"	94000	1456672000	0.00645306561806639	12934000	6965357279	0.185690402974661	0.179237337356595
"BRA"	"Brazil"	69086000	55118913952	0.12533991518803	12286000	197356436225	0.00622528468541716	-0.119114630502613
"BRB"	"Barbados"	0	272834481	0	28000	428979000	0.00652712603647265	0.00652712603647265
"BRN"	"Brunei Darussalam"	260000	3907400767	0.00665403974416531	252000	8907954399	0.0028289323082782	-0.00382510743588711
"BTN"	"Bhutan"	0	103003366	0	372000	413482438	0.0899675453688797	0.0899675453688797
"CAF"	"Central African Rep."	79118000	163270642	48.4581912772781	102504000	139355872	73.5555657102128	25.0973744329346
"CAN"	"Canada"	626406000	277113410951	0.226046800784666	802280000	386579899704	0.207532776694882	-0.0185140240897844
"CHE"	"Switzerland"	323454000	80467162005	0.401970185030139	176722000	195609280170	0.0903443844005839	-0.311625800629555
"CHL"	"Chile"	71694000	19210300000	0.373206040509518	7292000	70894425543	0.0102857170280294	-0.362920323481489
"CHN"	"China"	29186000	249202551015	0.0117117581184966	151058000	1577763750888	0.00957418370874481	-0.00213757440975183
"CIV"	"Côte d'Ivoire"	42672000	3627869440	1.17622755464982	114634000	10283508506	1.11473627831509	-0.0614912763347277
"CMR"	"Cameroon"	202364000	1822623715	11.1028951469558	498528000	3878432844	12.8538515439614	1.75095639700563
"COD"	"Dem.Rep. of the Congo"	29286000	823500000	3.55628415300546	154974000	5.4e+09	2.86988888888889	-0.686395264116576
"COG"	"Congo"	146912000	2482410945	5.91811763865712	170760000	8192355467	2.08438221080428	-3.83373542785284
"COK"	"Cook Isds"	1452000	8907081	16.3016368662191	260000	5163780	5.03507120752627	-11.2665656586929
"COL"	"Colombia"	3272000	13158400847	0.0248662435355584	29810000	39819528642	0.0748627646198645	0.0499965210843061
"COM"	"Comoros"	0	13968665	0	0	18017374	0	0
"CPV"	"Cape Verde"	142000	49282140	0.2881368382136	434000	46557965	0.932171326646257	0.644034488432657
"CRI"	"Costa Rica"	104000	5849700000	0.00177786895054447	60872000	9342880000	0.651533574229788	0.649755705279243
"CUB"	"Cuba"	0	1676059979	0	3060000	4945264531	0.061877377455099	0.061877377455099
"CYP"	"Cyprus"	2000	980554638	0.000203966196527235	0	1506457953	0	-0.000203966196527235
"CZE"	"Czech Rep."	188108000	29052866787	0.647467946551047	280990000	132140913815	0.21264420828313	-0.434823738267917
"DEU"	"Germany"	811750000	549606741000	0.14769651451564	776744000	1271096328740	0.0611081931744672	-0.0865883213411726
"DJI"	"Djibouti"	NA	NA	NA	0	100000052	0	NA
"DMA"	"Dominica"	2000	53582548	0.00373255859351817	22000	34115972	0.0644859246572251	0.0607533660637069
"DNK"	"Denmark"	138530000	49102286748	0.282125353368889	124538000	96499371553	0.129055762743077	-0.153069590625812
"DOM"	"Dominican Rep."	NA	NA	NA	2660000	4766733677	0.0558034113135958	NA
"DZA"	"Algeria"	0	22031287644	0	88000	57050973573	0.000154248025035715	0.000154248025035715
"ECU"	"Ecuador"	9476000	4821865472	0.196521451189918	30942000	17489921736	0.176913313089968	-0.0196081380999505
"EGY"	"Egypt"	0	4693494106	0	2822000	26331836029	0.0107170650648593	0.0107170650648593
"ERI"	"Eritrea"	NA	NA	NA	130000	NA	NA	NA
"ESP"	"Spain"	27244000	113343229177	0.0240367247323217	178008000	246265330443	0.0722830126675916	0.0482462879352699
"EST"	"Estonia"	272378000	3829703514	7.11224769761642	317060000	12811364478	2.47483396904727	-4.63741372856914
"ETH"	"Ethiopia"	0	481971392	0	4000	2329792821	0.000171689085997059	0.000171689085997059
"FIN"	"Finland"	86652000	45474931211	0.190548941345159	116230000	70116501475	0.165766970049756	-0.0247819712954034
"FJI"	"Fiji"	472000	537805241	0.0877641131057702	5004000	846623523	0.591053740423888	0.503289627318118
"FRA"	"France"	799598000	295345419474	0.270733164382253	853346000	511651042741	0.166782812642868	-0.103950351739386
"FRO"	"Faeroe Isds"	4000	476729053	0.000839051023810793	4000	817358000	0.00048938164182647	-0.000349669381984323
"GAB"	"Gabon"	571502000	2601575680	21.9675331528314	711792000	8374331136	8.49968777733319	-13.4678453754982
