"COUNTRY"	"ROUNDWOOD.2010"	"FUELWOOD.2010"	"ROUNDWOOD.2000"	"FUELWOOD.2000"	"FUELSHARE.2000"	"FUELSHARE.2010"	"FUELSHAREDIF.00.10"
"Afghanistan"	3401290	1641290	3038715	1278715	42.0807808563817	48.254926807182	6.17414595080025
"Albania"	430000	350000	447000	324000	72.4832214765101	81.3953488372093	8.91212736069923
"Algeria"	8321080	8176480	7236136	7074136	97.7612361072263	98.2622448047609	0.50100869753463
"Andorra"	0	0	NA	NA	NA	NA	NA
"Angola"	5105238	4009338	4259117	3163217	74.2693145081481	78.5338117439383	4.26449723579023
"Anguilla"	0	0	NA	NA	NA	NA	NA
"Argentina"	15009546	4374522	10703792	2993381	27.9656125604832	29.1449321651701	1.17931960468685
"Armenia"	1751000	1750000	57400	57400	100	99.9428897772701	-0.0571102227298752
"Aruba"	1748	1748	1282	1282	100	100	0
"Australia"	30430000	4853000	31181000	6774000	21.7247682883807	15.9480775550444	-5.77669073333638
"Austria"	17830956	4549512	13276000	2860000	21.5426333232901	25.5146835649193	3.9720502416292
"Azerbaijan"	6500	3200	13500	6400	47.4074074074074	49.2307692307692	1.82336182336182
"Bahamas"	49896	32896	48127	31127	64.6767926527729	65.9291325957993	1.2523399430264
"Bahrain"	6595	6595	5590	5590	100	100	0
"Bangladesh"	27568834	27286834	28458888	27835888	97.8108772205014	98.977105814486	1.16622859398464
"Barbados"	11004	5004	10423	5423	52.0291662669097	45.474372955289	-6.55479331162073
"Belarus"	10364200	2291600	6135800	928200	15.1276117213729	22.1107273113217	6.98311558994874
"Belgium"	4827425	713525	4510000	550000	12.1951219512195	14.7806542825626	2.58553233134314
"Belize"	167000	126000	187600	126000	67.1641791044776	75.4491017964072	8.28492269192957
"Benin"	6701503	6274503	6242329	5910329	94.6814722517829	93.6282950257577	-1.0531772260253
"Bhutan"	5035000	4845000	4354796	4220796	96.9229327849112	96.2264150943396	-0.69651769057154
"Bolivia (Plurinational State of)"	3262841	2349841	2609914	2141914	82.0683746667515	72.0182503529899	-10.0501243137616
"Bosnia and Herzegovina"	3615000	1260000	4282000	950000	22.1858944418496	34.8547717842324	12.6688773423828
"Botswana"	788295	683295	740448	635448	85.8193958252301	86.6801134093201	0.860717584089983
"Brazil"	271500740	143100740	235401621	132407621	56.247540028622	52.7073112213249	-3.54022880729713
"British Virgin Islands"	1355	1355	1032	1032	100	100	0
"Brunei Darussalam"	118979	11679	126232	11532	9.13555992141454	9.81601795274796	0.680458031333426
"Bulgaria"	5668000	2657000	4783890	2107000	44.0436548499234	46.8772053634439	2.83355051352051
"Burkina Faso"	13955959	12784959	7996000	7402000	92.5712856428214	91.6093190012954	-0.961966641525976
"Burundi"	10142292	9259292	6187000	5420000	87.6030386293842	91.293881106953	3.69084247756876
"Côte d'Ivoire"	10415768	8946768	11945021	8529021	71.4023106363731	85.896383252776	14.4940726164029
"Cambodia"	8524171	8442343	10298409	10119409	98.2618674399123	99.0400474134083	0.778179973495966
"Cameroon"	12080983	9905983	11005347	9111347	82.7901837170604	81.9964981326437	-0.793685584416764
"Canada"	142013000	3211000	201845000	2927000	1.45012261884119	2.26106060712752	0.810937988286326
"Cape Verde"	193351	193351	147181	147181	100	100	0
"Central African Republic"	2632000	2000000	2955000	2000000	67.6818950930626	75.9878419452888	8.30594685222616
"Chad"	7831029	7070029	6646198	5885198	88.549844587838	90.2822477097199	1.73240312188184
"Chile"	47215000	12655000	36568000	12131000	33.1738131699847	26.8029227999576	-6.37089037002704
"China"	291250552	188823052	323645681	227626581	70.3320310954497	64.8318263101524	-5.50020478529736
"Colombia"	12376000	8826000	13057000	10893000	83.4265145132879	71.3154492566257	-12.1110652566622
"Comoros"	290563	265913	225737	201087	89.0802128140269	91.5164697501058	2.43625693607889
"Congo"	3380790	1335790	2515140	1153140	45.8479448460126	39.5111793397401	-6.33676550627243
"Cook Islands"	5000	NA	5000	NA	NA	NA	NA
"Costa Rica"	4703039	3377039	4473321	3486321	77.9358557098853	71.8054645092248	-6.13039120066055
"Croatia"	4477000	1056000	3669000	976000	26.6012537476152	23.5872235872236	-3.01403016039157
"Cuba"	1860400	1141000	1819000	963000	52.9411764705882	61.3308965813803	8.3897201107921
"Cyprus"	8958	3628	20580	5420	26.3362487852284	40.5001116320607	14.1638628468323
"Czech Republic"	16736000	1965000	14441000	940000	6.5092445121529	11.7411567877629	5.23191227561001
"Democratic People's Republic of Korea"	7486734	5986734	7002863	5502863	78.5801892740155	79.9645613160558	1.38437204204034
"Democratic Republic of the Congo"	81194030	76602030	68466848	64902848	94.794561011484	94.3444117751022	-0.45014923638179
"Denmark"	2669436	1079507	2952000	460000	15.5826558265583	40.439516062569	24.8568602360108
"Djibouti"	355953	355953	293339	293339	100	100	0
"Dominica"	7517	7517	8086	8086	100	100	0
"Dominican Republic"	922354	912654	562300	556000	98.8796016361373	98.948343043994	0.0687414078566633
"Ecuador"	7031180	4940180	5908756	5362756	90.7594762755477	70.2610372654377	-20.49843901011
"Egypt"	17779447	17511447	16449909	16181909	98.3708116561617	98.4926415315392	0.121829875377443
"El Salvador"	4907392	4225392	5200021	4518021	86.8846683503778	86.1025978768356	-0.782070473542205
"Equatorial Guinea"	972000	447000	1136000	447000	39.3485915492958	45.9876543209877	6.63906277169188
"Eritrea"	1265020	1264000	2246531	2244341	99.90251636857	99.9193688637334	0.0168524951633486
"Estonia"	7200000	1944000	8910000	1640000	18.4062850729517	27	8.59371492704826
"Ethiopia"	104209300	101274300	89930092	87471092	97.2656538592221	97.1835527155446	-0.0821011436775336
"Falkland Islands (Malvinas)"	681	681	782	782	100	100	0
"Faroe Islands"	0	0	NA	NA	NA	NA	NA
"Fiji"	482205	37000	486000	37000	7.61316872427984	7.67308509866136	0.0599163743815216
"Finland"	50951529	4974846	54261855	4114782	7.58319449270579	9.76387970614189	2.1806852134361
"France"	55807808	26173567	65864940	26388940	40.0652304549279	46.8994714861404	6.83424103121251
"French Guiana"	207669	128050	135986	74688	54.9233009280367	61.6606233958848	6.73732246784809
"French Polynesia"	5417	4417	4013	4013	100	81.5395975632269	-18.4604024367731
"Gabon"	4470000	1070000	3099409	515409	16.629267063495	23.9373601789709	7.30809311547591
"Gambia"	806974	694274	715382	602682	84.2461789645252	86.0342464565153	1.78806749199009
"Georgia"	838006	733000	375100	279500	74.5134630765129	87.4695407908774	12.9560777143645
"Germany"	54418357	9030520	53710000	2622000	4.88177248184696	16.5946208188535	11.7128483370065
"Ghana"	39040966	37790966	27723457	26725457	96.400160340754	96.7982349617066	0.398074620952585
"Gibraltar"	0	0	NA	NA	NA	NA	NA
"Greece"	1742916	794840	2244935	1601407	71.3342257125485	45.6040336998455	-25.7301920127029
"Greenland"	0	0	NA	NA	NA	NA	NA
"Guadeloupe"	15300	15000	15300	15000	98.0392156862745	98.0392156862745	0
"Guatemala"	18512663	18058663	15007108	14540108	96.8881412727889	97.5476245637918	0.659483291002971
"Guinea"	12609951	11958951	12095377	11444377	94.6177783462227	94.837410549811	0.219632203588333
"Guinea-Bissau"	2731864	2599954	2364018	2229507	94.3100687050606	95.1714287387659	0.861360033705282
"Guyana"	1364096	848096	1168873	879873	75.2753293129365	62.1727503049639	-13.1025790079726
"Haiti"	2280135	2041135	2202646	1963646	89.1494139321525	89.5181644946461	0.368750562493631
"Honduras"	9009298	8575298	9488405	8732405	92.0323805739742	95.1827545276003	3.15037395362603
"Hungary"	5740275	2993983	5902000	2596900	44.0003388681803	52.1574837442457	8.15714487606542
"Iceland"	0	0	0	0	NA	NA	NA
"India"	332498878	309306678	296141016	277380016	93.6648424276359	93.0248787185381	-0.639963709097799
"Indonesia"	113848742	59743242	137829628	88981128	64.5587812222783	52.4759790494655	-12.0828021728128
"Iran (Islamic Republic of)"	750000	53000	1114000	54000	4.84739676840215	7.06666666666667	2.21926989826451
"Iraq"	177000	118000	177000	118000	66.6666666666667	66.6666666666667	0
"Ireland"	2617996	181021	2673100	73000	2.73091167558266	6.91448726430445	4.1835755887218
"Israel"	27000	2043	81000	8012	9.89135802469136	7.56666666666667	-2.32469135802469
"Italy"	7843787	5196559	9329000	5680000	60.8854110837174	66.2506388814485	5.36522779773102
"Jamaica"	700051	545051	882110	598710	67.872487558241	77.8587560049196	9.98626844667861
"Japan"	17280729	87729	18120621	133621	0.73739746557251	0.507669554912874	-0.229727910659636
"Jordan"	306465	302465	226143	222143	98.2312076871714	98.6947938590051	0.463586171833711
"Kazakhstan"	345000	272000	645400	473600	73.3808490858382	78.8405797101449	5.4597306243067
"Kenya"	27646000	26400000	21635247	19658247	90.8621334436348	95.4930188815742	4.63088543793936
"Kiribati"	2937	2937	2402	2402	100	100	0
"Kuwait"	18406	18406	14896	14896	100	100	0
"Kyrgyzstan"	45900	36600	46350	33300	71.8446601941748	79.7385620915033	7.8939018973285
"Lao People's Democratic Republic"	6554951	5947951	6438960	5871960	91.1942301241194	90.739823989531	-0.454406134588467
"Latvia"	12533818	2312000	14304000	1680000	11.744966442953	18.4460951962124	6.70112875325934
"Lebanon"	26016	18866	26224	19074	72.7348993288591	72.5169126691267	-0.217986659732375
"Lesotho"	2091851	2091851	2022018	2022018	100	100	0
"Liberia"	7488341	7008341	5839361	4725361	80.9225701236831	93.5900354965138	12.6674653728308
"Libya"	1067892	951892	939386	823386	87.651508538556	89.1374783217779	1.48596978322183
"Liechtenstein"	25000	16000	24167	4167	17.2425207928167	64	46.7574792071834
"Lithuania"	7096860	1942998	5500000	1450000	26.3636363636364	27.3782771535581	1.01464078992169
"Luxembourg"	274946	16796	259700	18000	6.93107431651906	6.10883591687095	-0.822238399648112
"Madagascar"	13380911	13100000	9763458	9637458	98.7094736311663	97.900658632286	-0.808814998880379
"Malawi"	6805340	5405340	6364075	4964075	78.0015163240534	79.4279198394202	1.42640351536684
"Malaysia"	22113489	2810489	27725720	3345720	12.067206911128	12.7093874693405	0.642180558212541
"Maldives"	15398	15398	13185	13185	100	100	0
"Mali"	5739248	5326348	5143485	4730585	91.9723689288488	92.805677677633	0.833308748784205
"Malta"	0	0	0	0	NA	NA	NA
"Martinique"	12410	10000	12000	10000	83.3333333333333	80.58017727639	-2.75315605694334
"Mauritania"	1839252	1836252	1434069	1428069	99.5816100898911	99.8368902140653	0.25528012417422
"Mauritius"	14000	9000	18000	10000	55.5555555555556	64.2857142857143	8.73015873015873
"Mayotte"	26650	26500	29294	28900	98.6550146787738	99.437148217636	0.782133538862212
"Mexico"	43869976	38828976	45665508	37560508	82.2513744947281	88.509225535022	6.2578510402939
"Micronesia (Federated States of)"	2444	2444	2102	2102	100	100	0
"Mongolia"	812361	763361	644000	553000	85.8695652173913	93.9681988672524	8.09863364986106
"Montenegro"	915001	707000	NA	NA	NA	77.267675117295	NA
"Morocco"	7157789	6785689	7537571	6968571	92.4511490505363	94.8014673246166	2.35031827408028
"Mozambique"	18140000	16724000	18043000	16724000	92.6896857507066	92.194046306505	-0.495639444201686
"Myanmar"	42457000	38286000	38083000	34471000	90.5154530893049	90.1759427185152	-0.339510370789739
"Namibia"	822024	822024	774169	774169	100	100	0
"Nepal"	13785685	12525685	14022684	12762684	91.0145589817185	90.8600842105416	-0.154474771176893
"Netherlands"	1080593	290000	1039000	160000	15.3994225216554	26.8371162870757	11.4376937654203
"Netherlands Antilles"	3317	3317	3078	3078	100	100	0
"New Caledonia"	26518	11818	23026	10716	46.5386953878225	44.5659552002413	-1.97274018758111
"New Zealand"	21956000	0	19279000	0	0	0	0
"Nicaragua"	6298562	6096562	5983725	5755725	96.1896644648609	96.7929187646323	0.603254299771365
"Niger"	3558000	2857000	8384433	7805433	93.0943451990135	80.2979201798763	-12.7964250191371
"Nigeria"	72632728	63214728	68766652	59348652	86.3044081308481	87.0333935412697	0.728985410421629
"Niue"	45	45	43	43	100	100	0
"Norfolk Island"	52	52	60	60	100	100	0
"Norway"	10443082	2120652	8156265	678475	8.31845213464742	20.3067638461519	11.9883117115045
"Oman"	38976	38976	26468	26468	100	100	0
"Pakistan"	32650000	29660000	33560000	30880000	92.0143027413588	90.8422664624809	-1.1720362788779
"Panama"	1304086	1128086	1326654	1279654	96.4572526069344	86.5039575610811	-9.95329504585335
"Papua New Guinea"	10009000	5533000	7842000	5533000	70.5559806171895	55.2802477770007	-15.2757328401888
"Paraguay"	10619874	6575874	9594923	5550923	57.8527102301915	61.9204521635567	4.06774193336521
"Peru"	8690000	7338000	9288000	7777000	83.7316968130922	84.4418872266974	0.710190413605204
"Philippines"	15914935	12361935	16693709	13614709	81.5559262474265	77.6750580508183	-3.88086819660819
"Poland"	35467417	4124416	26025000	1536000	5.90201729106628	11.628746463268	5.72672917220168
"Portugal"	9648360	600000	10831000	600000	5.53965469485735	6.21867343258336	0.679018737726008
"Qatar"	4976	4976	4487	4487	100	100	0
"Réunion"	36100	31000	36100	31000	85.8725761772853	85.8725761772853	0
"Republic of Korea"	5942595	2476595	4041237	2449237	60.6061213435391	41.6753118797428	-18.9308094637964
"Republic of Moldova"	351800	308800	321300	240500	74.8521630874572	87.7771461057419	12.9249830182847
"Romania"	13111640	2563588	13148200	3032200	23.0617118693053	19.5520011226666	-3.50971074663873
"Russian Federation"	175000000	38923918	158100000	52300000	33.0803289057558	22.2422388571429	-10.838090048613
"Rwanda"	6211927	5000000	5400000	5000000	92.5925925925926	80.490321280337	-12.1022713122556
"Saint Lucia"	9850	9850	9422	9422	100	100	0
"Saint Pierre and Miquelon"	600	600	NA	NA	NA	100	NA
"Saint Vincent and the Grenadines"	7444	7444	8217	8217	100	100	0
"Samoa"	75700	70000	87900	70000	79.6359499431172	92.4702774108322	12.8343274677151
"Sao Tome and Principe"	120626	107426	109137	95937	87.9051100909866	89.0570855371147	1.15197544612816
"Saudi Arabia"	247428	247428	178587	178587	100	100	0
"Senegal"	6215205	5427205	5907579	5113579	86.5596380513913	87.3214157859636	0.761777734572348
"Serbia"	7636000	6223000	NA	NA	NA	81.4955474070194	NA
"Seychelles"	12840	3160	11940	4060	34.0033500837521	24.6105919003115	-9.39275818344057
"Sierra Leone"	5705219	5581619	5481363	5357763	97.7450863954823	97.8335625678874	0.0884761724051089
"Singapore"	0	0	NA	NA	NA	NA	NA
"Slovakia"	9599068	509893	6163000	277000	4.49456433555087	5.31190111373312	0.817336778182257
"Slovenia"	2945449	1104045	2253000	532000	23.612960497115	37.4830798292552	13.8701193321403
"Solomon Islands"	1586451	128451	704000	138000	19.6022727272727	8.09675180639049	-11.5055209208822
"Somalia"	13611108	13501108	9338017	9228017	98.8220197071819	99.1918365499708	0.369816842788865
"South Africa"	28988569	12000000	30959200	12000000	38.7606914907362	41.3956273591842	2.63493586844804
"Spain"	16089399	5120000	14321000	1600000	11.1724041617206	31.8221954716892	20.6497913099686
"Sri Lanka"	5822585	5211585	6582561	5906561	89.7304407813312	89.5063790395503	-0.224061741780858
"Sudan (former)"	20948768	18775768	18853060	16680060	88.474019602123	89.6270749668906	1.1530553647677
"Suriname"	293788	47488	223700	42700	19.0880643719267	16.1640366522799	-2.92402771964681
"Swaziland"	1392730	1062730	1214750	884750	72.8339164437127	76.3055294278144	3.47161298410174
"Sweden"	72200000	5900000	63300000	5900000	9.32069510268562	8.17174515235457	-1.14894995033105
"Switzerland"	4938036	1498647	9238000	1626000	17.6012123836328	30.3490497031613	12.7478373195285
"Syrian Arab Republic"	67893	28093	50400	15900	31.547619047619	41.3783453375164	9.83072628989734
"Tajikistan"	90000	90000	0	0	NA	100	NA
"Thailand"	28001440	19301440	26814514	20552514	76.646975589414	68.9301693055786	-7.71680628383542
"The former Yugoslav Republic of Macedonia"	631000	530000	1052000	875000	83.1749049429658	83.9936608557845	0.818755912818688
"Timor-Leste"	120097	120097	178872	178872	100	100	0
"Togo"	4590000	4424000	5805189	5499189	94.7288537892565	96.3834422657952	1.65458847653873
"Tonga"	4134	2134	3710	2210	59.5687331536388	51.6207063376875	-7.94802681595134
"Trinidad and Tobago"	79822	32822	108515	36515	33.6497258443533	41.1189897521986	7.46926390784532
"Tunisia"	2402607	2184607	2307853	2094053	90.7359784180362	90.9265227313497	0.19054431331358
"Turkey"	20597000	4902000	15939300	5510300	34.5705269365656	23.7995824634656	-10.7709444731
"Turkmenistan"	10000	10000	2500	2500	100	100	0
"Turks and Caicos Islands"	1000	1000	656	656	100	100	0
"Uganda"	43729358	39636358	37265320	34090320	91.4800141257341	90.6401552933844	-0.839858832349705
"Ukraine"	16145600	8609600	9859330	4058000	41.1589834197658	53.3247448221187	12.1657614023529
"United Arab Emirates"	18002	18002	15672	15672	100	100	0
"United Kingdom"	9718263	1381100	7785000	229000	2.94155427103404	14.2113873641823	11.2698330931482
"United Republic of Tanzania"	25149697	22835697	23100647	20786647	89.9829645464043	90.7990939214894	0.816129375085126
"United States of America"	323985676	40436676	466549000	45930000	9.84462510904535	12.4810073393492	2.63638223030381
"Uruguay"	11832000	2430000	2934000	1423000	48.5003408316292	20.5375253549696	-27.9628154766596
"Uzbekistan"	30000	22000	28900	24000	83.0449826989619	73.3333333333333	-9.7116493656286
"Vanuatu"	119000	91000	131000	91000	69.4656488549618	76.4705882352941	7.00493938033227
"Venezuela (Bolivarian Republic of)"	5419562	4054562	4707654	3604654	76.5700707826021	74.813462785369	-1.75660799723312
"Viet Nam"	28200000	21500000	30868548	26685548	86.4489900853127	76.2411347517731	-10.2078553335397
"Wallis and Futuna Islands"	400	NA	NA	NA	NA	NA	NA
"Yemen"	440785	440785	301896	301896	100	100	0
"Zambia"	10444448	9119448	8384887	7827887	93.3570959274705	87.3138341059288	-6.04326182154165
"Zimbabwe"	9227270	8708870	9093600	8115200	89.2407847277206	94.3818702606513	5.14108553293072
