"ISO3"	"FRACOUNTRYCODE"	"COUNTRY"	"FRACATCODE"	"FRACAT"	"YEAR"	"VALUE"
"AFG"	86	"Afghanistan"	0	"Forest"	1990	1350
"AFG"	86	"Afghanistan"	1	"Inland water"	2010	0
"AFG"	86	"Afghanistan"	3	"Other wooded land"	2010	29471
"AFG"	86	"Afghanistan"	2	"Other land"	1990	34388
"AFG"	86	"Afghanistan"	3	"Other wooded land"	1990	29471
"AFG"	86	"Afghanistan"	0	"Forest"	2005	1350
"AFG"	86	"Afghanistan"	1	"Inland water"	2000	0
"AFG"	86	"Afghanistan"	0	"Forest"	2000	1350
"AFG"	86	"Afghanistan"	2	"Other land"	2000	34388
"AFG"	86	"Afghanistan"	2	"Other land"	2010	34388
"AFG"	86	"Afghanistan"	2	"Other land"	2005	34388
"AFG"	86	"Afghanistan"	1	"Inland water"	2005	0
"AFG"	86	"Afghanistan"	1	"Inland water"	1990	0
"AFG"	86	"Afghanistan"	3	"Other wooded land"	2000	29471
"AFG"	86	"Afghanistan"	0	"Forest"	2010	1350
"AFG"	86	"Afghanistan"	3	"Other wooded land"	2005	29471
"ALB"	144	"Albania"	1	"Inland water"	2005	135
"ALB"	144	"Albania"	3	"Other wooded land"	2010	255.2
"ALB"	144	"Albania"	3	"Other wooded land"	1990	256
"ALB"	144	"Albania"	1	"Inland water"	1990	135
"ALB"	144	"Albania"	1	"Inland water"	2000	135
"ALB"	144	"Albania"	0	"Forest"	2000	769
"ALB"	144	"Albania"	0	"Forest"	1990	789
"ALB"	144	"Albania"	3	"Other wooded land"	2000	255
"ALB"	144	"Albania"	2	"Other land"	2005	1700
"ALB"	144	"Albania"	0	"Forest"	2005	782
"ALB"	144	"Albania"	2	"Other land"	1990	1695
"ALB"	144	"Albania"	2	"Other land"	2010	1708.5
"ALB"	144	"Albania"	1	"Inland water"	2010	135
"ALB"	144	"Albania"	0	"Forest"	2010	776.3
"ALB"	144	"Albania"	2	"Other land"	2000	1716
"ALB"	144	"Albania"	3	"Other wooded land"	2005	258
"DZA"	45	"Algeria"	3	"Other wooded land"	2010	2685
"DZA"	45	"Algeria"	1	"Inland water"	2000	0
"DZA"	45	"Algeria"	1	"Inland water"	1990	0
"DZA"	45	"Algeria"	2	"Other land"	2005	234109
"DZA"	45	"Algeria"	1	"Inland water"	2005	0
"DZA"	45	"Algeria"	3	"Other wooded land"	2000	2374
"DZA"	45	"Algeria"	2	"Other land"	2010	233997
"DZA"	45	"Algeria"	0	"Forest"	2010	1492
"DZA"	45	"Algeria"	3	"Other wooded land"	1990	2063
"DZA"	45	"Algeria"	0	"Forest"	1990	1667
"DZA"	45	"Algeria"	2	"Other land"	2000	234221
"DZA"	45	"Algeria"	0	"Forest"	2005	1536
"DZA"	45	"Algeria"	2	"Other land"	1990	234444
"DZA"	45	"Algeria"	3	"Other wooded land"	2005	2529
"DZA"	45	"Algeria"	1	"Inland water"	2010	0
"DZA"	45	"Algeria"	0	"Forest"	2000	1579
"ASM"	109	"American Samoa"	3	"Other wooded land"	2010	0
"ASM"	109	"American Samoa"	3	"Other wooded land"	2000	0
"ASM"	109	"American Samoa"	1	"Inland water"	1990	0
"ASM"	109	"American Samoa"	3	"Other wooded land"	2005	0
"ASM"	109	"American Samoa"	0	"Forest"	2010	17.712
"ASM"	109	"American Samoa"	2	"Other land"	2005	2.119
"ASM"	109	"American Samoa"	3	"Other wooded land"	1990	0
"ASM"	109	"American Samoa"	2	"Other land"	1990	1.612
"ASM"	109	"American Samoa"	2	"Other land"	2000	1.95
"ASM"	109	"American Samoa"	0	"Forest"	1990	18.388
"ASM"	109	"American Samoa"	1	"Inland water"	2010	0
"ASM"	109	"American Samoa"	1	"Inland water"	2000	0
"ASM"	109	"American Samoa"	0	"Forest"	2000	18.05
"ASM"	109	"American Samoa"	0	"Forest"	2005	17.881
"ASM"	109	"American Samoa"	1	"Inland water"	2005	0
"ASM"	109	"American Samoa"	2	"Other land"	2010	2.288
"AND"	80	"Andorra"	1	"Inland water"	1990	0
"AND"	80	"Andorra"	2	"Other land"	1990	29
"AND"	80	"Andorra"	3	"Other wooded land"	2000	0
"AND"	80	"Andorra"	3	"Other wooded land"	1990	0
"AND"	80	"Andorra"	1	"Inland water"	2005	0
"AND"	80	"Andorra"	3	"Other wooded land"	2005	0
"AND"	80	"Andorra"	2	"Other land"	2000	29
"AND"	80	"Andorra"	3	"Other wooded land"	2010	0
"AND"	80	"Andorra"	1	"Inland water"	2010	0
"AND"	80	"Andorra"	0	"Forest"	1990	16
"AND"	80	"Andorra"	0	"Forest"	2005	16
"AND"	80	"Andorra"	0	"Forest"	2000	16
"AND"	80	"Andorra"	2	"Other land"	2005	29
"AND"	80	"Andorra"	2	"Other land"	2010	29
"AND"	80	"Andorra"	0	"Forest"	2010	16
"AND"	80	"Andorra"	1	"Inland water"	2000	0
"AGO"	13	"Angola"	1	"Inland water"	1990	0
"AGO"	13	"Angola"	3	"Other wooded land"	2000	0
"AGO"	13	"Angola"	3	"Other wooded land"	1990	0
"AGO"	13	"Angola"	2	"Other land"	1990	63694
"AGO"	13	"Angola"	3	"Other wooded land"	2005	0
"AGO"	13	"Angola"	2	"Other land"	2005	65566
"AGO"	13	"Angola"	1	"Inland water"	2010	0
"AGO"	13	"Angola"	0	"Forest"	1990	60976
"AGO"	13	"Angola"	2	"Other land"	2000	64942
"AGO"	13	"Angola"	3	"Other wooded land"	2010	0
"AGO"	13	"Angola"	0	"Forest"	2010	58480
"AGO"	13	"Angola"	1	"Inland water"	2005	0
"AGO"	13	"Angola"	0	"Forest"	2005	59104
"AGO"	13	"Angola"	0	"Forest"	2000	59728
"AGO"	13	"Angola"	1	"Inland water"	2000	0
"AGO"	13	"Angola"	2	"Other land"	2010	66190
"AIA"	7656221	"Anguilla"	1	"Inland water"	1990	0
"AIA"	7656221	"Anguilla"	3	"Other wooded land"	2000	0
"AIA"	7656221	"Anguilla"	2	"Other land"	2000	3.6
"AIA"	7656221	"Anguilla"	3	"Other wooded land"	1990	0
"AIA"	7656221	"Anguilla"	2	"Other land"	1990	3.6
"AIA"	7656221	"Anguilla"	0	"Forest"	1990	5.5
"AIA"	7656221	"Anguilla"	0	"Forest"	2005	5.5
"AIA"	7656221	"Anguilla"	3	"Other wooded land"	2010	0
"AIA"	7656221	"Anguilla"	3	"Other wooded land"	2005	0
"AIA"	7656221	"Anguilla"	1	"Inland water"	2005	0
"AIA"	7656221	"Anguilla"	0	"Forest"	2000	5.5
"AIA"	7656221	"Anguilla"	2	"Other land"	2005	3.6
"AIA"	7656221	"Anguilla"	1	"Inland water"	2010	0
"AIA"	7656221	"Anguilla"	0	"Forest"	2010	5.5
"AIA"	7656221	"Anguilla"	2	"Other land"	2010	3.6
"AIA"	7656221	"Anguilla"	1	"Inland water"	2000	0
"ATG"	179	"Antigua and Barbuda"	1	"Inland water"	1990	0
"ATG"	179	"Antigua and Barbuda"	3	"Other wooded land"	2000	15.6
"ATG"	179	"Antigua and Barbuda"	2	"Other land"	2000	18.4
"ATG"	179	"Antigua and Barbuda"	2	"Other land"	1990	18.1
"ATG"	179	"Antigua and Barbuda"	0	"Forest"	1990	10.3
"ATG"	179	"Antigua and Barbuda"	3	"Other wooded land"	1990	15.6
"ATG"	179	"Antigua and Barbuda"	1	"Inland water"	2010	0
"ATG"	179	"Antigua and Barbuda"	1	"Inland water"	2005	0
"ATG"	179	"Antigua and Barbuda"	0	"Forest"	2000	10
"ATG"	179	"Antigua and Barbuda"	3	"Other wooded land"	2010	15.6
"ATG"	179	"Antigua and Barbuda"	2	"Other land"	2005	18.6
"ATG"	179	"Antigua and Barbuda"	2	"Other land"	2010	18.6
"ATG"	179	"Antigua and Barbuda"	0	"Forest"	2005	9.8
"ATG"	179	"Antigua and Barbuda"	1	"Inland water"	2000	0
"ATG"	179	"Antigua and Barbuda"	0	"Forest"	2010	9.8
"ATG"	179	"Antigua and Barbuda"	3	"Other wooded land"	2005	15.6
"ARG"	215	"Argentina"	3	"Other wooded land"	1990	61100
"ARG"	215	"Argentina"	2	"Other land"	2000	180076
"ARG"	215	"Argentina"	1	"Inland water"	1990	4371
"ARG"	215	"Argentina"	0	"Forest"	2010	29400
"ARG"	215	"Argentina"	2	"Other land"	1990	177776
"ARG"	215	"Argentina"	0	"Forest"	1990	34793
"ARG"	215	"Argentina"	0	"Forest"	2000	31861
"ARG"	215	"Argentina"	3	"Other wooded land"	2010	61471
"ARG"	215	"Argentina"	2	"Other land"	2005	181468
"ARG"	215	"Argentina"	1	"Inland water"	2005	4371
