"COUNTRY"	"COUNTRYCODE"	"X2000"	"X2001"	"X2002"	"X2003"	"X2004"	"X2005"	"X2006"	"X2007"	"X2008"	"X2009"	"X2010"	"ROAD.CHANGE.00.10.rel"
"Afghanistan"	"AFG"	NA	NA	NA	NA	23.6599998474	27.5	29.3	NA	NA	NA	NA	11.28238924
"Albania"	"ALB"	39	39	39	NA	NA	NA	NA	NA	NA	NA	NA	0
"Algeria"	"DZA"	68.9000015259	NA	NA	NA	70.1999969482	NA	NA	NA	73.5	74	77.1	1.13081674
"American Samoa"	"ASM"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0
"Andorra"	"AND"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0
"Angola"	"AGO"	10.3999996185	10.3999996185	NA	NA	NA	NA	NA	NA	NA	NA	NA	0
"Antigua and Barbuda"	"ATG"	NA	NA	32.9599990845	NA	NA	NA	NA	NA	NA	NA	NA	0
"Argentina"	"ARG"	29.3999996185	NA	NA	30	NA	NA	NA	NA	NA	NA	NA	0.67569661
"Armenia"	"ARM"	NA	NA	NA	91.2699966431	90.1200027466	90	89	89	90.5	93.6	NA	0.42102171
"Aruba"	"ABW"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0
"Australia"	"AUS"	NA	NA	NA	NA	41.57	NA	NA	NA	NA	NA	43.5	0.75923745
"Austria"	"AUT"	100	100	100	100	NA	100	100	100	100	100	100	0
"Azerbaijan"	"AZE"	NA	NA	NA	NA	49.3899993896	NA	50.6	NA	NA	NA	NA	1.21753302
"Bahamas, The"	"BHS"	57.4000015259	57.4000015259	NA	NA	NA	NA	NA	NA	NA	NA	NA	0
"Bahrain"	"BHR"	77.5999984741	75.3000030518	78.9000015259	79.1299972534	79.7391063003	80.3	80.8	81	81.5	82.1	82.1	0.5652979
"Bangladesh"	"BGD"	9.529999733	NA	NA	9.5	NA	NA	NA	NA	NA	NA	9.5	-0.03152394
"Barbados"	"BRB"	98.5999984741	98.5999984741	98.5999984741	100	100	NA	NA	NA	NA	NA	NA	0.35309541
"Belarus"	"BLR"	NA	NA	NA	86.4000015259	87	88.6	NA	NA	NA	86.5	86.4	-2.5e-07
"Belgium"	"BEL"	78.1999969482	78.3000030518	78.1999969482	78	78	78.2	78.2	78.2	78.2	78.2	78.2	3.9e-07
"Belize"	"BLZ"	17	17	NA	NA	NA	NA	NA	NA	NA	NA	NA	0
"Benin"	"BEN"	NA	NA	NA	NA	9.5	NA	NA	NA	NA	NA	NA	0
"Bermuda"	"BMU"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0
"Bhutan"	"BTN"	NA	NA	NA	62	NA	56.1	NA	NA	NA	45.1	40.4	-5.93520865
"Bolivia"	"BOL"	6.5999999046	6.6999998093	6.6999998093	7	7.342	6.9	6.9	6.8	7.9	7.9	8.5	2.56224052
"Bosnia and Herzegovina"	"BIH"	NA	NA	NA	NA	NA	NA	NA	NA	NA	92.1	92.1	0
"Botswana"	"BWA"	NA	NA	35.2999992371	35.1399993896	33.2000007629	32.6	NA	NA	NA	NA	NA	-2.61748913
"Brazil"	"BRA"	5.5	NA	NA	NA	NA	12.2	12.2	12.2	12.2	12.9	13.5	9.39490813
"Brunei Darussalam"	"BRN"	34.7000007629	NA	NA	NA	79.098	78.4	78	80.1	81.1	81.1	81.1	8.86020228
"Bulgaria"	"BGR"	NA	NA	NA	NA	NA	98.4	NA	NA	NA	NA	98.6	0.0406174
"Burkina Faso"	"BFA"	NA	NA	NA	NA	4.1700000763	NA	NA	NA	NA	NA	NA	0
"Burundi"	"BDI"	7.0999999046	NA	NA	NA	10.4399995804	NA	NA	NA	NA	NA	NA	10.11856279
"Cambodia"	"KHM"	NA	NA	NA	NA	6.2899999619	NA	NA	NA	NA	NA	NA	0
"Cameroon"	"CMR"	8.1000003815	NA	NA	NA	8.3699998856	NA	17.4	NA	17	NA	NA	9.70981564
"Canada"	"CAN"	NA	NA	NA	NA	39.8699989319	NA	NA	NA	NA	NA	NA	0
"Cape Verde"	"CPV"	69.0400009155	69.0400009155	NA	NA	NA	NA	NA	NA	NA	NA	NA	0
"Cayman Islands"	"CYM"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0
