"ISO3"	"COUNTRY"	"ANDIFF.00.10.rel"	"CROPAREADIF.00.10"	"MEADOWAREADIF.00.10"	"CATT.DIFF.00.10.rel"	"POPDIF.00.10.rel"	"RURPOPDIF.00.10.rel"	"URBPOPDIF.00.10.rel"	"AGRIPOPDIF.00.10.rel"	"BIOENDIFF.00.09.rel"	"FUELSHAREDIF.00.10"	"SOLIDFUELUSE.2010"	"FOREXSHAREDIF.00.10"	"ROAD.CHANGE.00.10.rel"	"GDPGROWTHAV.00.10"	"CPI2012"
"ABW"	"Aruba"	0	NA	NA	NA	18.8888888888889	18.75	19.047619047619	4.76190476190476	NA	0	NA	NA	0	-0.8446457886	NA
"AFG"	"Afghanistan"	0	5.41182965541566	0	87.5	37.4343717185859	33.2949561403509	53.7911611785095	28.9896907216495	NA	6.17414595080025	85	1.27074926962614	11.28238924	10.3204931721	8
"AGO"	"Angola"	-0.2089	-0.00802117590438756	0	14.2857142857143	37.0242711474939	11.4583333333333	63.6470243330402	32.2125487841489	-2.31	4.26449723579023	55	-0.0537229002442607	0	11.4172327602	22
"AIA"	"Anguilla"	0	NA	NA	NA	36.3636363636364	NA	36.3636363636364	0	NA	NA	NA	NA	NA	NA	NA
"ALB"	"Albania"	0.0949	5.25217391304348	9.12347826086956	-35.9375	4.296875	-13.9106145251397	29.7191887675507	-9.64912280701754	-19.24	8.91212736069923	39	-0.288037038370889	0	5.9732836716	33
"AND"	"Andorra"	0	NA	2.44444444444445	NA	30.7692307692308	100	25	-16.6666666666667	NA	NA	5	-0.00697413649921861	0	6.1915197399	NA
"ANT"	"Netherlands Antilles"	0	NA	NA	100	11.6666666666667	-22.2222222222222	15.4320987654321	0	NA	0	NA	0.000353957818316496	NA	NA	NA
"ARE"	"United Arab Emirates"	0.2355	-1.32775119617225	0	-5.88235294117648	147.675568743818	100	159.301848049281	54.9668874172185	NA	0	5	0.00336052268075539	0	5.3436805479	68
"ARG"	"Argentina"	-0.7724	10.7239965472594	4.68637606099842	-13.1578947368421	9.42568573826866	-15.7115437345764	12.1800264391299	-11.1428571428571	-2.78	1.17931960468685	5	-0.0292199110968805	0.67569661	2.9056759325	35
"ARM"	"Armenia"	-1.3816	10.7315436241611	13.3020134228188	-8.33333333333333	0.520156046814044	1.83992640294388	-0.201106083459025	-25.4498714652956	-36.78	-0.0571102227298752	19	-0.162962184732327	0.42102171	8.5558688471	34
"ASM"	"American Samoa"	-0.1873	-2	NA	0	17.2413793103448	-16.6666666666667	25.4901960784314	-10	NA	NA	NA	NA	0	NA	NA
"ATG"	"Antigua and Barbuda"	-0.2	0	0	10.9589041095891	14.1025641025641	16.9811320754717	8	0	NA	NA	5	NA	0	2.3648093727	NA
"AUS"	"Australia"	-0.3628	3.36795328889578	-6.75450834495943	16.6666666666667	16.1970361093717	-1.42276422764228	18.7847949715654	-1.0250569476082	2.13	-5.77669073333638	5	0.0166373812318113	0.75923745	3.4494682402	85
"AUT"	"Austria"	0.1277	15.0470966972696	-1.55001788482175	0	4.85946283572767	-0.511322132943755	7.65141446743877	-31.3868613138686	20.68	3.9720502416292	5	-0.0634762852032902	0	1.8946752956	69
