"FAOSTATCODE"	"ISO3"	"COUNTRY"	"FRANUMCODE"	"UNSDNUMCODE"	"FAOCOUNTRY"
1	"ARM"	"Armenia"	156	51	"Armenia"
2	"AFG"	"Afghanistan"	86	4	"Afghanistan"
3	"ALB"	"Albania"	144	8	"Albania"
4	"DZA"	"Algeria"	45	12	"Algeria"
5	"ASM"	"American Samoa"	109	16	"American Samoa"
6	"AND"	"Andorra"	80	20	"Andorra"
7	"AGO"	"Angola"	13	24	"Angola"
8	"ATG"	"Antigua and Barbuda"	179	28	"Antigua and Barbuda"
9	"ARG"	"Argentina"	215	32	"Argentina"
10	"AUS"	"Australia"	123	36	"Australia"
11	"AUT"	"Austria"	129	40	"Austria"
12	"BHS"	"Bahamas"	180	44	"Bahamas"
13	"BHR"	"Bahrain"	87	48	"Bahrain"
14	"BRB"	"Barbados"	181	52	"Barbados"
16	"BGD"	"Bangladesh"	31	50	"Bangladesh"
18	"BTN"	"Bhutan"	32	64	"Bhutan"
19	"BOL"	"Bolivia, Plurinational State of"	205	68	"Bolivia (Plurinational State of)"
20	"BWA"	"Botswana"	14	72	"Botswana"
21	"BRA"	"Brazil"	206	76	"Brazil"
22	"ABW"	"Aruba"	7656243	533	"Aruba"
23	"BLZ"	"Belize"	171	84	"Belize"
25	"SLB"	"Solomon Islands"	120	90	"Solomon Islands"
26	"BRN"	"Brunei Darussalam"	81	96	"Brunei Darussalam"
27	"BGR"	"Bulgaria"	146	100	"Bulgaria"
28	"MMR"	"Myanmar"	40	104	"Myanmar"
29	"BDI"	"Burundi"	4	108	"Burundi"
32	"CMR"	"Cameroon"	5	120	"Cameroon"
33	"CAN"	"Canada"	203	124	"Canada"
35	"CPV"	"Cape Verde"	64	132	"Cape Verde"
36	"CYM"	"Cayman Islands"	184	136	"Cayman Islands"
37	"CAF"	"Central African Republic"	6	140	"Central African Republic"
38	"LKA"	"Sri Lanka"	37	144	"Sri Lanka"
39	"TCD"	"Chad"	65	148	"Chad"
40	"CHL"	"Chile"	216	152	"Chile"
44	"COL"	"Colombia"	207	170	"Colombia"
45	"COM"	"Comoros"	22	174	"Comoros"
46	"COG"	"Congo"	7	178	"Congo"
47	"COK"	"Cook Islands"	110	184	"Cook Islands"
48	"CRI"	"Costa Rica"	172	188	"Costa Rica"
49	"CUB"	"Cuba"	185	192	"Cuba"
50	"CYP"	"Cyprus"	88	196	"Cyprus"
52	"AZE"	"Azerbaijan"	157	31	"Azerbaijan"
53	"BEN"	"Benin"	55	204	"Benin"
54	"DNK"	"Denmark"	132	208	"Denmark"
55	"DMA"	"Dominica"	186	212	"Dominica"
56	"DOM"	"Dominican Republic"	187	214	"Dominican Republic"
57	"BLR"	"Belarus"	158	112	"Belarus"
58	"ECU"	"Ecuador"	208	218	"Ecuador"
59	"EGY"	"Egypt"	53	818	"Egypt"
60	"SLV"	"El Salvador"	173	222	"El Salvador"
61	"GNQ"	"Equatorial Guinea"	8	226	"Equatorial Guinea"
63	"EST"	"Estonia"	159	233	"Estonia"
64	"FRO"	"Faroe Islands"	642354614	234	"Faroe Islands"
65	"FLK"	"Falkland Islands (Malvinas)"	7653870	238	"Falkland Islands (Malvinas)"
66	"FJI"	"Fiji"	111	242	"Fiji"
67	"FIN"	"Finland"	125	246	"Finland"
68	"FRA"	"France"	133	251	"France"
69	"GUF"	"French Guiana"	209	254	"French Guiana"
70	"PYF"	"French Polynesia"	112	258	"French Polynesia"
72	"DJI"	"Djibouti"	72	262	"Djibouti"
73	"GEO"	"Georgia"	160	268	"Georgia"
74	"GAB"	"Gabon"	9	266	"Gabon"
75	"GMB"	"Gambia"	66	270	"Gambia"
79	"DEU"	"Germany"	134	276	"Germany"
80	"BIH"	"Bosnia and Herzegovina"	145	70	"Bosnia and Herzegovina"
81	"GHA"	"Ghana"	76	288	"Ghana"
82	"GIB"	"Gibraltar"	7655146	292	"Gibraltar"
83	"KIR"	"Kiribati"	114	296	"Kiribati"
84	"GRC"	"Greece"	135	300	"Greece"
85	"GRL"	"Greenland"	4103	304	"Greenland"
86	"GRD"	"Grenada"	188	308	"Grenada"
87	"GLP"	"Guadeloupe"	189	312	"Guadeloupe"
89	"GTM"	"Guatemala"	174	320	"Guatemala"
90	"GIN"	"Guinea"	77	324	"Guinea"
91	"GUY"	"Guyana"	210	328	"Guyana"
93	"HTI"	"Haiti"	190	332	"Haiti"
95	"HND"	"Honduras"	175	340	"Honduras"
97	"HUN"	"Hungary"	149	348	"Hungary"
98	"HRV"	"Croatia"	147	191	"Croatia"
99	"ISL"	"Iceland"	127	352	"Iceland"
100	"IND"	"India"	33	699	"India"
101	"IDN"	"Indonesia"	82	360	"Indonesia"
102	"IRN"	"Iran, Islamic Republic of"	89	364	"Iran (Islamic Republic of)"
103	"IRQ"	"Iraq"	90	368	"Iraq"
104	"IRL"	"Ireland"	136	372	"Ireland"
105	"ISR"	"Israel"	91	376	"Israel"
106	"ITA"	"Italy"	137	381	"Italy"
107	"CIV"	"Cote d'Ivoire"	75	384	"Côte d'Ivoire"
108	"KAZ"	"Kazakhstan"	161	398	"Kazakhstan"
109	"JAM"	"Jamaica"	191	388	"Jamaica"
110	"JPN"	"Japan"	103	392	"Japan"
112	"JOR"	"Jordan"	92	400	"Jordan"
113	"KGZ"	"Kyrgyzstan"	162	417	"Kyrgyzstan"
114	"KEN"	"Kenya"	73	404	"Kenya"
115	"KHM"	"Cambodia"	38	116	"Cambodia"
116	"PRK"	"Korea, Democratic People's Republic of"	105	408	"Democratic People's Republic of Korea"
117	"KOR"	"Korea, Republic of"	106	410	"Republic of Korea"
118	"KWT"	"Kuwait"	93	414	"Kuwait"
119	"LVA"	"Latvia"	163	428	"Latvia"
120	"LAO"	"Lao People's Democratic Republic"	39	418	"Lao People's Democratic Republic"
121	"LBN"	"Lebanon"	94	422	"Lebanon"
122	"LSO"	"Lesotho"	27	426	"Lesotho"
123	"LBR"	"Liberia"	78	430	"Liberia"
124	"LBY"	"Libya"	58	434	"Libya"
125	"LIE"	"Liechtenstein"	138	438	"Liechtenstein"
126	"LTU"	"Lithuania"	164	440	"Lithuania"
129	"MDG"	"Madagascar"	23	450	"Madagascar"
130	"MWI"	"Malawi"	15	454	"Malawi"
131	"MYS"	"Malaysia"	83	458	"Malaysia"
132	"MDV"	"Maldives"	34	462	"Maldives"
133	"MLI"	"Mali"	68	466	"Mali"
134	"MLT"	"Malta"	139	470	"Malta"
