"Country Name"	"Country Code"	"2000"	"2001"	"2002"	"2003"	"2004"	"2005"	"2006"	"2007"	"2008"	"2009"	"2010"	"GDPGROWTHAV.00.10"
"Afghanistan"	"AFG"				8.4441632309	1.055555806	11.1752702171	5.5541376425	13.7402049676	3.6113684099	21.0206487192	8.433290483	10.3204931721
"Albania"	"ALB"	7.3	7	2.9	5.7	5.9	5.5	5	5.9	7.7	3.3	3.5	5.9732836716
"Algeria"	"DZA"	2.2000007035	2.5999951682	4.7000046523	6.9000016625	5.1999971045	5.0999992862	2	3	2.4	2.4	3.6	4.0049036034
"American Samoa"	"ASM"												"#NUM!"
"Andorra"	"AND"	1.1657870644	11.7702727457	5.874302308	6.7543854508	6.484810116	5.9178627001	6.7899351474	1.4280715001	3.5707371859			6.1915197399
"Angola"	"AGO"	3.0120761749	3.1419662231	14.4905487824	3.3082779221	11.1828077629	18.2615484949	20.7350198031	22.5931061137	13.8170989633	2.4129116149	3.407643628	11.4172327602
"Antigua and Barbuda"	"ATG"	5.6808569069	-3.1200243224	2.8950241517	6.5842198808	4.9126009638	6.1148829023	12.9137904846	9.4989470895	0.0711107677	-12.0360144879	-7.1429918139	2.3648093727
"Argentina"	"ARG"	-0.7889989222	-4.4088396976	-10.8944848199	8.8370407834	9.029573322	9.178950217	8.4660627118					2.9056759325
"Armenia"	"ARM"	5.9	9.5566414955	13.1863005321	14.040795056	10.467841864	13.8657112515	13.1980035141	13.7492019584	6.9	-14.1499886386	2.0963658917	8.5558688471
"Aruba"	"ABW"	-0.3646957787	-2.1644594089	0.4652898655	7.5194723733	1.1766904837	0.3803909714	2.355119443	-3.6546262419	-6.8813020636	-5.6535020861		-0.8446457886
"Australia"	"AUS"	3.846027789	1.8994801309	3.9131099686	3.1509029925	4.1474591959	3.1868765471	3.0427413913	3.7879906028	3.7689271325	1.6481594493	2.0875759955	3.4494682402
"Austria"	"AUT"	3.6675888356	0.8574026009	1.6937298632	0.8659194452	2.5895798537	2.4006723593	3.6697902925	3.7059487645	1.4362590957	-3.7826564351	2.0509275797	1.8946752956
"Azerbaijan"	"AZE"	11.1	9.9	10.6	11.2	10.2	26.4	34.5	25.049	10.8	9.3	5	16.1623010342
"Bahamas, The"	"BHS"	4.1492463998	2.625627121	2.7046295125	-1.2647446288	0.8828842326	3.3952926695	2.516863841	1.4465222153	-2.3239372479	-4.1752591752	0.9879863264	1.0615715259
"Bahrain"	"BHR"	5.2999934497	4.6	5.26	7.2	5.6	7.8	6.7	8.34	6.3	3.1	4.5	6.4771045961
"Bangladesh"	"BGD"	5.9445067699	5.2740141143	4.4154109226	5.2559942715	6.2705029005	5.9554784735	6.6293371749	6.4278425208	6.1904315531	5.7411586257	6.0693398645	6.4338691935
"Barbados"	"BRB"	2.3117743496	-5.0540466318	-3.5454646268	2.0079909617	3.6858491471	3.1824375336	3.4192216709	0.4776821242	0.1800000101	-5.3000000231		0.089228499
"Belarus"	"BLR"	5.8	4.7253060063	5.0452673176	7.0431926752	11.449742927	9.4409036305	9.9979866937	8.6473156589	10.2482459209	0.1635351589	7.7	8.0048446158
"Belgium"	"BEL"	3.6696909963	0.8077116773	1.3597381719	0.8069204327	3.2742442003	1.7510690018	2.6664042018	2.8833052992	0.9851813366	-2.7871836527	2.4160911672	1.7689989301
"Belize"	"BLZ"	13.0387673904	4.9571736741	5.0987475229	9.321356964	4.6205406457	3.0279893426	4.6530478083	1.3403621773	3.4916109656	0	2.9	5.1954397418
"Benin"	"BEN"	4.8616675599	6.2484105551	4.421114337	3.8825083411	3.1198571084	2.865236818	3.7521544747	4.6263964705	5.018430261	2.6665153976	2.5528178414	4.4037557434
"Bermuda"	"BMU"	9.3171555765	7.2224360086	-1.4777903746	3.4107062041	2.3212664765	1.6742071493	5.5438659281	2.741647626	0.8131783977	-5.0888065656	-2.1520137918	2.3485395412
"Bhutan"	"BTN"	6.9330240229	8.2037738851	10.7278408629	7.6643339534	5.8964080472	7.1225598511	6.8493658136	17.9258250159	4.6693643818	6.7279856827	11.6775275779	9.4180493269
"Bolivia"	"BOL"	2.5078109881	1.6837990341	2.4855658153	2.7113398321	4.173295561	4.4214330999	4.7970087386	4.5643844827	6.1484978102	3.35699943	4.1267227475	4.0970564231
"Bosnia and Herzegovina"	"BIH"	5.5	4.4	5.3	4	6.1	5	6.2	6.838	5.42	-2.91	0.6999999986	4.6236001285
"Botswana"	"BWA"	5.8855794201	3.544101928	9.0093740114	6.2750748427	5.9778573037	1.6422936962	5.1357045245	8.8838885411	3.6996177631	-7.8784518797	8.1244612157	4.9282242412
"Brazil"	"BRA"	4.3057457155	1.3148961209	2.6559742668	1.1467490643	5.7139169159	3.1563523881	3.9554152693	6.0954549768	5.1692990144	-0.3282480399	7.5336154529	4.0517778732
"Brunei Darussalam"	"BRN"	2.84942187	2.7440414041	3.8720972384	2.9039550348	0.5043179434	0.38750691	4.3977204324	0.1545814603	-1.9388802216	-1.7653714937	2.5989659115	1.6487431504
"Bulgaria"	"BGR"	5.7	4.2	4.7	5.5	6.7	6.4	6.5	6.4	6.2	-5.5	0.4	4.6605269162
"Burkina Faso"	"BFA"	1.8470213348	6.5853743501	5.1437851793	7.8024938906	4.4784521359	8.661873228	6.7678094541	3.6062065626	5.8000050651	2.9654391452	7.9396987386	6.1535873076
"Burundi"	"BDI"	-0.8568640572	2.0558071064	4.4465194211	-1.2237279582	4.8336577615	0.9	5.3846573982	4.7858319509	5.0481187822	3.4684254271	3.7859025423	3.2393667909
"Cambodia"	"KHM"	8.766785439	8.0386316291	6.6878808481	8.5058987889	10.3405287268	13.250085557	10.7710871626	10.212571808	6.6915774746	0.0866969594	5.9630785752	8.9114655494
"Cameroon"	"CMR"	4.1999963318	4.5142710867	4.0090445712	4.0309933155	3.7018540543	2.2966544407	3.222146585	3.3835655706	2.5575391108	1.9751533149	3.2999999996	3.7220705071
"Canada"	"CAN"	5.2332886461	1.7838012203	2.924529481	1.8810743296	3.1199769792	3.0190573454	2.8230327286	2.2000213556	0.6887268734	-2.7697681799	3.2149484078	2.3946052435
"Cape Verde"	"CPV"	7.2669518909	6.1376149479	5.2824933678	4.6832273088	4.28	6.5208922741	10.1417637632	8.6491611621	6.1976267188	3.7126420995	5.2096350577	6.8116139741
"Cayman Islands"	"CYM"												"#NUM!"
"Central African Republic"	"CAF"	-2.5000142251	0.6	-0.5999055606	-7.1	1	2.4	3.8	3.7	2	1.7	3.2999999993	0.7772244432
"Chad"	"TCD"	-0.8796810208	11.658134649	8.4912098235	14.7216670103	33.6293718504	17.3325337361	0.2	0.2	-0.4	-1.2	13	9.2004330465
"Channel Islands"	"CHI"	5.8266414688	-1.5129612603	-1.6322065976	-3.202156942	0.2241973963	1.377734157	4.8822993641	5.8983296615				1.6315277966
"Chile"	"CHL"	4.495792997	3.3481803906	2.1669086339	3.9567484815	6.0410867392	5.5594525308	4.5899493196	4.6002848729	3.6623262411	-1.0364317614	5.7629724497	4.3034958148
"China"	"CHN"	8.4	8.3	9.1	10	10.1	11.3	12.7	14.2	9.6	9.2	10.4	11.3717373137
"Colombia"	"COL"	4.4199929996	1.6778983077	2.5039804655	3.9182719036	5.3330220675	4.7065559338	6.6975152577	6.9006276554	3.5468048858	1.6515492453	3.9718007047	4.5269339871
"Comoros"	"COM"	1.4178526608	3.3292085725	4.1494145975	2.474617737	-0.2399341076	4.2298856076	1.2421504586	0.4909909399	0.974927219	1.8102183012	2.0512295543	2.1849952727
"Congo, Dem. Rep."	"COD"	-6.9109273154	-2.100008082	3.4684762478	5.7913013237	6.6398961386	7.8007371547	5.5812570774	6.2577545991	6.1550437535	2.8343844681	7.1742031742	4.1740990012
"Congo, Rep."	"COG"	7.5759803922	3.8026019002	4.5818700615	0.8132640747	3.4766316228	7.755758978	6.2359970127	-1.5822227525	5.5722641772	7.46887803	8.7516557995	5.4094162968
"Costa Rica"	"CRI"	1.8008309385	1.0764026248	2.9021818464	6.4045101321	4.2594569307	5.8863762352	8.7796384083	7.9353405147	2.7316253192	-1.0157235805	4.9543205268	4.5375514074
"Cote d'Ivoire"	"CIV"	-3.7002046922	-0.0212304708	-1.4308081535	-1.555364663	1.793855153	1.2559679587	0.6839707086	1.7146717318	2.33	3.749993171	2.3943827508	0.6982611752
"Croatia"	"HRV"	3.750387794	3.6559979454	4.8782657074	5.3710676298	4.1284372373	4.2798058053	4.9352396937	5.0599293506	2.0843375191	-6.9472047406	-1.4051470205	2.9120395514
"Cuba"	"CUB"	5.9158657143	3.1822301859	1.4285908098	3.791364597	5.7708788412	11.2017130778	12.0658060169	7.2621369665	4.1168280416	1.4491167632	2.0646358302	5.7774075394
"Curacao"	"CUW"												"#NUM!"
"Cyprus"	"CYP"	5.0428027153	4.0255516004	2.0912362611	1.934070122	4.2246938966	3.909963232	4.1253128506	5.1305428927	3.6266162094	-1.6661594644	1.3	3.359665849
"Czech Republic"	"CZE"	4.1856505056	3.097349644	2.149300055	3.766174432	4.7425908456	6.7524507915	7.0203808917	5.7351307344	3.0990016934	-4.5071388017	2.492442735	3.8114072912
"Denmark"	"DNK"	3.528655889	0.7048341026	0.4658482802	0.3838311633	2.2964870435	2.4451479241	3.3947103945	1.5832620857	-0.7838522252	-5.6663155908	1.5772420022	0.9604152296
"Djibouti"	"DJI"	0.416213964	2.0477643749	2.6185623979	3.1999593275	3.8264760879	3.169601156	4.7998646827	5.1000613874	5.7999626186	4.9995031413	3.5	3.9429277883
"Dominica"	"DMA"	-5.606353479	-0.0658183331	-2.1315113151	7.3923187431	3.0296164288	-0.8174605227	9.5124778913	5.9562769864	7.8161530633	-1.1298334551	1.2004509299	2.4045391164
"Dominican Republic"	"DOM"	5.6566048863	1.8092294846	5.7882073121	-0.2533588055	1.3119582174	9.262750072	10.6711548464	8.4746247783	5.2556494441	3.4540544589	7.7512208664	5.8748944992
"Ecuador"	"ECU"	1.0918015644	4.0156298996	4.0967766589	2.722877337	8.2110209173	5.291308267	4.4035264338	2.1900639722	6.3571305999	0.5664915921	2.8495557697	4.1628654252
"Egypt, Arab Rep."	"EGY"	5.3680059852	3.5352256719	2.3704890879	3.193517698	4.0920716113	4.4717444717	6.8438381938	7.0878274268	7.1562835661	4.6861295577	5.1466187911	5.3957812993
"El Salvador"	"SLV"	2.1528797295	1.7092431817	2.3401877735	2.3000382702	1.8505355829	3.562814501	3.9119486446	3.839765177	1.2742273011	-3.1330462817	1.3647836673	2.1007910516
"Equatorial Guinea"	"GNQ"	12.4526806973	63.3798754277	19.4628340326	13.9552503201	37.9987268548	9.7487275997	-16.1617643482	21.9047619048	16.7542016807	0.826585695	-1.6981763426	16.1791528752
"Eritrea"	"ERI"	-3.1419867462	8.7554363133	3.0054286506	-2.6555153642	1.4517343625	2.5744496012	-0.9692163728	1.4268217503	-9.7830297463	3.8765019203	2.1941897692	0.5590462959
"Estonia"	"EST"	9.6971748629	6.2816443883	6.5604285342	7.7653867125	6.342836963	8.8534966273	10.0973433022	7.4922039033	-4.1513553349	-14.0722192913	3.3303644212	4.5533836353
"Ethiopia"	"ETH"	6.0728590619	8.3014321844	1.5147165192	-2.1610824818	13.5723612957	11.8188444231	10.8346293961	11.4560153491	10.7885541121	8.8024865433	9.9373453188	9.0215801093
"Faeroe Islands"	"FRO"												"#NUM!"
"Fiji"	"FJI"	-1.7	2	3.2	1	5.3	0.7	1.852483331	-0.8506544552	1.0327947891	-1.2723675713	-0.1814567682	1.0877754028
"Finland"	"FIN"	5.3237513246	2.2837474942	1.834129602	2.0124333667	4.1248709643	2.9160598664	4.4105923308	5.335225212	0.2935704448	-8.5386125733	3.3241799851	2.2574144005
"France"	"FRA"	3.6799467332	1.835734121	0.9288735528	0.8995044096	2.544735449	1.8264867764	2.4669057366	2.2854145973	-0.0806676064	-3.1470513838	1.7248545443	1.4813026162
"French Polynesia"	"PYF"	4.0000003434											"#DIV/0!"
"Gabon"	"GAB"	-1.8829663963	2.1316799528	-0.2671542553	2.4751921835	1.3460156004	3.0215958568	1.1811876896	5.5533538866	1.0000000011	-2.9	6.7	1.7975585675
"Gambia, The"	"GMB"	5.5	5.8	-3.2500003785	6.87	7.05	-0.9416761496	1.1240996194	3.631025832	5.7346419752	6.4496958433	6.5262974436	4.3971295474
"Georgia"	"GEO"	1.8383411467	4.8054517419	5.4738393935	11.0581010118	5.8573302376	9.5996405751	9.3832766124	12.344	2.3140470959	-3.7757739611	6.2530275808	6.4285651553
"Germany"	"DEU"	3.057649432	1.5143710724	0.0101481632	-0.3754439371	1.1611326136	0.6846556585	3.7	3.269045323	1.0832010458	-5.1270207852	4.1577409932	1.28047276
"Ghana"	"GHA"	3.7	4	4.5	5.2	5.6	5.9000038481	6.4	6.4597355801	8.4305040827	3.9914725763	8.0085931907	6.2242943015
"Greece"	"GRC"	4.4774057029	4.1970463592	3.4391483666	5.9433757897	4.3676319728	2.2803436885	5.5107619529	3.5361279181	-0.2140025065	-3.1356306925	-4.9431550391	2.4849343446
"Greenland"	"GRL"	7.1015970099	1.269035533	-0.9711779449	-0.3796267004	2.6675134963	1.9795855243	4.4689808917	5.5130597792	0.3459090843	-5.4119862937		1.7798963393
"Grenada"	"GRD"	3.4032781919	-2.0949810884	3.6474737118	9.6399172927	-1.0285656754	13.5154877587	-4.6979311079	6.123452011	0.9482151538	-6.659383915	-0.3522900552	2.0700199025
"Guam"	"GUM"												"#NUM!"
"Guatemala"	"GTM"	3.6088687004	2.3325443008	3.8666383631	2.5308379552	3.1520305128	3.2601626923	5.3797339283	6.3040721448	3.2810953119	0.5260377542	2.9099642308	3.7102234345
"Guinea"	"GIN"	2.5030605615	3.6583464707	5.164609466	1.2486012603	2.340117312	2.9972725617	2.4967285689	1.7576823508	4.9369327094	-0.2801922865	1.9362174227	2.8676198672
"Guinea-Bissau"	"GNB"	3.641641149	7.2248791751	1.9993541759	-4.9383425363	-0.7475838782	4.9237801013	-1.9818395455	6.0388221844	10.4611711667	1.119169577	1.7184015556	2.85518212
"Guyana"	"GUY"	-1.3767275012	2.2499992921	1.0510007718	-1.0052552821	3.293924792	-1.9569111313	5.1296093465	-3.6405173241	1.9766470578	3.3186241704	4.3708694171	1.3016548702
"Haiti"	"HTI"	0.8752399232	-1.0426973133	-0.261498231	0.3624305984	-3.5113330772	1.7916865743	2.2529922553	3.3432790146	0.8439443293	2.8776978417	-5.4160125589	0.1751958099
"Honduras"	"HND"	5.7481481481	2.7232188049	3.7543488771	4.5470360463	6.2323220905	6.0508796552	6.5669332927	6.1883271668	4.2316001101	-2.1297640751	2.7725944579	4.6467387085
"Hong Kong SAR, China"	"HKG"	7.6634220715	0.5608806157	1.656717796	3.0563036559	8.700113728	7.388220331	7.0326230463	6.4647946675	2.1278986094	-2.4591047124	6.7932836952	4.8453514836
"Hungary"	"HUN"	4.2252375262	3.7122030351	4.5061082907	3.8504236272	4.7971861139	3.9644340015	3.8971612818	0.1146991555	0.8941516007	-6.7986245128	1.2581528755	2.3860281985
"Iceland"	"ISL"	4.3246608247	3.9216019517	0.1389602878	2.4344129075	7.835800887	7.2299809597	4.7089707823	5.9850002091	1.1880633984	-6.5653462674	-4.0981748466	2.6103905206
"India"	"IND"	3.9750526726	4.9442263569	3.9075339896	7.9439945847	7.8487916858	9.2848819429	9.2639647589	9.8013603367	3.8909570625	8.4797838969	10.5463920022	7.9857477999
"Indonesia"	"IDN"	4.9200645973	3.6434664472	4.4994753909	4.7803691217	5.030873945	5.6925713038	5.5009517852	6.3450222445	6.0137025026	4.6288740781	6.2238523229	5.7393192813
"Iran, Islamic Rep."	"IRN"	5.1431625361	3.6696719483	7.5155981583	7.1146812168	5.0840515139	4.6234054025	5.8939360988	7.8247883186	2.3	1.8		5.658284967
"Iraq"	"IRQ"	-4.3	-6.6	-7.8	-41.3	46.5	-0.6999995787	1.3775981476	1.3775981476	6.6088648666	5.8089665601	5.8571877604	-1.4552515899
"Ireland"	"IRL"		5.2962073	5.6376664863	3.8846477601	4.3627296869	5.8761316055	5.4043564677	5.4450865559	-2.1085663046	-5.4563631675	-0.7662344336	2.9871607684
"Isle of Man"	"IMN"	5.3383642786	5.3761663344	5.868974884	6.3277788827	5.2	5.9	7.7	7.5				7.0561124858
"Israel"	"ISR"	9.2548781151	-0.223359908	-0.5755342532	1.5121847912	4.8443178865	4.9404351507	5.5942276313	5.4968007788	4.0282916603	0.8370687094	4.8459253376	4.0200747684
"Italy"	"ITA"	3.653596071	1.8626274499	0.4514362528	-0.0465783005	1.7306652777	0.9312671361	2.1989238036	1.6830627399	-1.1562314862	-5.4944073153	1.7232884524	0.7245373496
"Jamaica"	"JAM"	0.8787035464	1.3449295556						1.4	-0.8	-3.5	-1.5	-0.4542007988
"Japan"	"JPN"	2.2574953022	0.3554617148	0.2895484509	1.6851117218	2.3607301135	1.3027281443	1.6929042449	2.1921862325	-1.0416360344	-5.5269764887	4.6521118556	0.9885271963
"Jordan"	"JOR"	4.2445627515	5.2692962871	5.7857957544	4.1780748279	8.5589511475	8.1213075737	8.1079108257	8.1757183267	7.2324086806	5.4834453395	2.3070557644	6.7465619001
"Kazakhstan"	"KAZ"	9.8	13.5	9.8	9.3	9.6	9.7	10.6999999999	8.8999999991	3.3000000009	1.2000000002	7.2999999991	9.2922568775
"Kenya"	"KEN"	0.5996953928	3.7799064969	0.5468595283	2.9324755456	5.1042997786	5.9066660778	6.330632808	6.9932851529	1.5269488177	2.7352125087	5.7649029752	4.2037097038
"Kiribati"	"KIR"	7.2425066918	-3.0741403379	6.1903700234	4.5024413159	0.9096768606	-2.4593570494	-0.4108002331	2.1152095705	-2.358617372	-2.3496594696	1.4	1.1063641433
"Korea, Dem. Rep."	"PRK"												"#NUM!"
"Korea, Rep."	"KOR"	8.4861941139	3.9734787579	7.1500175152	2.8027759238	4.6190203785	3.9571537031	5.1786849188	5.1058239721	2.2983760309	0.3194996253	6.3202540359	5.007030835
"Kosovo"	"KSV"		26.9739161086	-0.7009507946	5.4200447302	2.6121258329	3.8442900985	6	6.3	6.9	2.9	3.9	6.9058124321
