"COUNTRY"	"COUNTRYCODE"	"POP"	"POPCODE"	"YEAR"	"TOTPOP1000"	"RURPOP1000"	"URBPOP1000"	"AGRIPOP1000"
"Afghanistan"	2	"Population - Est. & Proj."	3010	2010	31412	24313	7099	18768
"Albania"	3	"Population - Est. & Proj."	3010	2010	3204	1541	1663	1339
"Algeria"	4	"Population - Est. & Proj."	3010	2010	35468	11883	23585	7404
"American Samoa"	5	"Population - Est. & Proj."	3010	2010	68	5	64	18
"Andorra"	6	"Population - Est. & Proj."	3010	2010	85	10	75	5
"Angola"	7	"Population - Est. & Proj."	3010	2010	19082	7918	11164	13212
"Anguilla"	258	"Population - Est. & Proj."	3010	2010	15	0	15	3
"Antigua and Barbuda"	8	"Population - Est. & Proj."	3010	2010	89	62	27	18
"Argentina"	9	"Population - Est. & Proj."	3010	2010	40412	3074	37338	3110
"Armenia"	1	"Population - Est. & Proj."	3010	2010	3092	1107	1985	290
"Aruba"	22	"Population - Est. & Proj."	3010	2010	107	57	50	22
"Australia"	10	"Population - Est. & Proj."	3010	2010	22268	2425	19843	869
"Austria"	11	"Population - Est. & Proj."	3010	2010	8394	2724	5670	282
"Azerbaijan"	52	"Population - Est. & Proj."	3010	2010	9188	4417	4771	2091
"Bahamas"	12	"Population - Est. & Proj."	3010	2010	343	55	288	8
"Bahrain"	13	"Population - Est. & Proj."	3010	2010	1262	144	1118	8
"Bangladesh"	16	"Population - Est. & Proj."	3010	2010	148692	106959	41733	67445
"Barbados"	14	"Population - Est. & Proj."	3010	2010	273	152	122	7
"Belarus"	57	"Population - Est. & Proj."	3010	2010	9595	2428	7167	853
"Belgium"	255	"Population - Est. & Proj."	3010	2010	10712	277	10435	134
"Belize"	23	"Population - Est. & Proj."	3010	2010	312	149	163	74
"Benin"	53	"Population - Est. & Proj."	3010	2010	8850	5129	3721	3920
"Bermuda"	17	"Population - Est. & Proj."	3010	2010	65	0	65	1
"Bhutan"	18	"Population - Est. & Proj."	3010	2010	726	474	252	674
"Bolivia (Plurinational State of)"	19	"Population - Est. & Proj."	3010	2010	9930	3322	6608	3966
"Bosnia and Herzegovina"	80	"Population - Est. & Proj."	3010	2010	3760	1932	1828	89
"Botswana"	20	"Population - Est. & Proj."	3010	2010	2007	780	1227	845
"Brazil"	21	"Population - Est. & Proj."	3010	2010	194946	26261	168685	21074
"British Virgin Islands"	239	"Population - Est. & Proj."	3010	2010	23	14	10	5
"Brunei Darussalam"	26	"Population - Est. & Proj."	3010	2010	399	97	302	1
"Bulgaria"	27	"Population - Est. & Proj."	3010	2010	7494	2139	5355	299
"Burkina Faso"	233	"Population - Est. & Proj."	3010	2010	16469	12238	4231	15160
"Burundi"	29	"Population - Est. & Proj."	3010	2010	8383	7461	922	7481
