"COUNTRY"	"CPI2012"	"ISO3"
"Afghanistan"	8	"AFG"
"Albania"	33	"ALB"
"Algeria"	34	"DZA"
"Angola"	22	"AGO"
"Argentina"	35	"ARG"
"Armenia"	34	"ARM"
"Australia"	85	"AUS"
"Austria"	69	"AUT"
"Azerbaijan"	27	"AZE"
"Bahamas"	71	"BHS"
"Bahrain"	51	"BHR"
"Bangladesh"	26	"BGD"
"Barbados"	76	"BRB"
"Belarus"	31	"BLR"
"Belgium"	75	"BEL"
"Benin"	36	"BEN"
"Bhutan"	63	"BTN"
"Bolivia"	34	"BOL"
"Bosnia and Herzegovina"	42	"BIH"
"Botswana"	65	"BWA"
"Brazil"	43	"BRA"
"Brunei"	55	"BRN"
"Bulgaria"	41	"BGR"
"Burkina Faso"	38	"BFA"
"Burundi"	19	"BDI"
"Côte d´Ivoire"	29	"CIV"
"Cambodia"	22	"KHM"
"Cameroon"	26	"CMR"
"Canada"	84	"CAN"
"Cape Verde"	60	"CPV"
"Central African Republic"	26	"CAF"
"Chad"	19	"TCD"
"Chile"	72	"CHL"
"China"	39	"CHN"
"Colombia"	36	"COL"
"Comoros"	28	"COM"
"Congo Republic"	26	"COG"
"Costa Rica"	54	"CRI"
"Croatia"	46	"HRV"
"Cuba"	48	"CUB"
"Cyprus"	66	"CYP"
"Czech Republic"	49	"CZE"
"Democratic Republic of the Congo"	21	"COD"
"Denmark"	90	"DNK"
"Djibouti"	36	"DJI"
"Dominica"	58	"DMA"
"Dominican Republic"	32	"DOM"
"Ecuador"	32	"ECU"
"Egypt"	32	"EGY"
"El Salvador"	38	"SLV"
"Equatorial Guinea"	20	"GNQ"
"Eritrea"	25	"ERI"
"Estonia"	64	"EST"
"Ethiopia"	33	"ETH"
"Finland"	90	"FIN"
"France"	71	"FRA"
"Gabon"	35	"GAB"
"Gambia"	34	"GMB"
"Georgia"	52	"GEO"
"Germany"	79	"DEU"
"Ghana"	45	"GHA"
"Greece"	36	"GRC"
"Guatemala"	33	"GTM"
"Guinea"	24	"GIN"
"Guinea-Bissau"	25	"GNB"
"Guyana"	28	"GUY"
"Haiti"	19	"HTI"
"Honduras"	28	"HND"
"Hong Kong"	77	"HKG"
"Hungary"	55	"HUN"
"Iceland"	82	"ISL"
"India"	36	"IND"
"Indonesia"	32	"IDN"
"Iran"	28	"IRN"
"Iraq"	18	"IRQ"
"Ireland"	69	"IRL"
"Israel"	60	"ISR"
"Italy"	42	"ITA"
"Jamaica"	38	"JAM"
"Japan"	74	"JPN"
"Jordan"	48	"JOR"
"Kazakhstan"	28	"KAZ"
"Kenya"	27	"KEN"
"Korea (North)"	8	"PRK"
"Korea (South)"	56	"KOR"
"Kosovo"	34	"KOS"
"Kuwait"	44	"KWT"
"Kyrgyzstan"	24	"KGZ"
"Laos"	21	"LAO"
"Latvia"	49	"LVA"
"Lebanon"	30	"LBN"
"Lesotho"	45	"LSO"
"Liberia"	41	"LBR"
"Libya"	21	"LBY"
"Lithuania"	54	"LTU"
"Luxembourg"	80	"LUX"
"Macedonia"	43	"MKD"
"Madagascar"	32	"MDG"
"Malawi"	37	"MWI"
"Malaysia"	49	"MYS"
"Mali"	34	"MLI"
"Malta"	57	"MLT"
"Mauritania"	31	"MRT"
"Mauritius"	57	"MUS"
"Mexico"	34	"MEX"
"Moldova"	36	"MDA"
"Mongolia"	36	"MNG"
"Montenegro"	41	"MNE"
"Morocco"	37	"MAR"
"Mozambique"	31	"MOZ"
"Myanmar"	15	"MMR"
"Namibia"	48	"NAM"
"Nepal"	27	"NPL"
"Netherlands"	84	"NLD"
"New Zealand"	90	"NZL"
"Nicaragua"	29	"NIC"
"Niger"	33	"NER"
"Nigeria"	27	"NGA"
"Norway"	85	"NOR"
"Oman"	47	"OMN"
"Pakistan"	27	"PAK"
"Panama"	38	"PAN"
"Papua New Guinea"	25	"PNG"
"Paraguay"	25	"PRY"
"Peru"	38	"PER"
"Philippines"	34	"PHL"
"Poland"	58	"POL"
"Portugal"	63	"PRT"
"Puerto Rico"	63	"PRI"
"Qatar"	68	"QAT"
"Romania"	44	"ROU"
"Russia"	28	"RUS"
"Rwanda"	53	"RWA"
"Saint Lucia"	71	"LCA"
"Saint Vincent and the Grenadines"	62	"VCT"
"Sao Tome and Principe"	42	"STP"
"Saudi Arabia"	44	"SAU"
"Senegal"	36	"SEN"
"Serbia"	39	"SRB"
"Seychelles"	52	"SYC"
"Sierra Leone"	31	"SLE"
"Singapore"	87	"SGP"
"Slovakia"	46	"SVK"
"Slovenia"	61	"SVN"
"Somalia"	8	"SOM"
"South Africa"	43	"ZAF"
"Spain"	65	"ESP"
"Sri Lanka"	40	"LKA"
"Sudan"	13	"SDN"
"Suriname"	37	"SUR"
"Swaziland"	37	"SWZ"
"Sweden"	88	"SWE"
"Switzerland"	86	"CHE"
"Syria"	26	"SYR"
"Taiwan"	61	"TWN"
"Tajikistan"	22	"TJK"
"Tanzania"	35	"TZA"
"Thailand"	37	"THA"
"Timor-Leste"	33	"TLS"
"Togo"	30	"TGO"
"Trinidad and Tobago"	39	"TTO"
"Tunisia"	41	"TUN"
"Turkey"	49	"TUR"
"Turkmenistan"	17	"TKM"
"Uganda"	29	"UGA"
"Ukraine"	26	"UKR"
"United Arab Emirates"	68	"ARE"
"United Kingdom"	74	"GBR"
"United States"	73	"USA"
"Uruguay"	72	"URY"
"Uzbekistan"	17	"UZB"
"Venezuela"	19	"VEN"
"Vietnam"	31	"VNM"
"Yemen"	23	"YEM"
"Zambia"	37	"ZMB"
"Zimbabwe"	20	"ZWE"
