"Domain"	"Country"	"Item"	"Element"	"Year"	"Value"
"Livestock"	"Afghanistan"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2010	0.15
"Livestock"	"Albania"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2010	0.41
"Livestock"	"Algeria"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2010	0.04
"Livestock"	"American Samoa"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2010	0.02
"Livestock"	"Angola"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2010	0.08
"Livestock"	"Antigua and Barbuda"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2010	1.62
"Livestock"	"Argentina"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2010	0.33
"Livestock"	"Armenia"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2010	0.33
"Livestock"	"Australia"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2010	0.07
"Livestock"	"Austria"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2010	0.64
"Livestock"	"Azerbaijan"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2010	0.56
"Livestock"	"Bahamas"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2010	0.05
"Livestock"	"Bahrain"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2010	1.2
"Livestock"	"Bangladesh"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2010	2.64
"Livestock"	"Barbados"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2010	0.79
"Livestock"	"Belarus"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2010	0.47
"Livestock"	"Belgium"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2010	1.91
"Livestock"	"Belize"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2010	0.58
"Livestock"	"Benin"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2010	0.59
"Livestock"	"Bermuda"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2010	0.88
"Livestock"	"Bhutan"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2010	0.6
"Livestock"	"Bolivia (Plurinational State of)"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2010	0.22
"Livestock"	"Bosnia and Herzegovina"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2010	0.22
"Livestock"	"Botswana"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2010	0.1
"Livestock"	"Brazil"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2010	0.77
"Livestock"	"British Virgin Islands"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2010	0.34
