"CROPAREADIF.00.10"	"MEADOWAREADIF.00.10"	"CATT.DIFF.00.10.rel"	"POPDIF.00.10.rel"	"RURPOPDIF.00.10.rel"	"URBPOPDIF.00.10.rel"	"AGRIPOPDIF.00.10.rel"	"BIOENDIFF.00.09.rel"	"FUELSHAREDIF.00.10"	"SOLIDFUELUSE.2010"	"FOREXSHAREDIF.00.10"	"ROAD.CHANGE.00.10.rel"	"GDPGROWTHAV.00.10"	"CPI2012"
"CROPAREADIF.00.10"	NA	0.188515550937349	0.0914552069114922	0.00186058025385938	0.126100286889092	0.0114186225829971	0.017772081317339	0.61888318674611	0.409398152387614	0.0681222916522484	0.692313191080405	0.571886972561304	0.0946944491803126	0.0116872770991505
"MEADOWAREADIF.00.10"	0.188515550937349	NA	0.000126656838409511	0.0473498162029418	0.185342570418154	0.217023843073402	0.104432827829035	0.93169477956562	0.141406452993532	0.700578862537048	0.474158396474226	0.227332288464747	0.505291350489235	0.552005948096301
"CATT.DIFF.00.10.rel"	0.0914552069114922	0.000126656838409511	NA	3.86019222209377e-06	0.000123625947462624	0.00077089892585569	0.00144902363483768	0.722343201865966	0.682721489317389	0.077631226415342	0.907169274722939	0.479250901735875	0.550004929245127	0.0383423320283209
"POPDIF.00.10.rel"	0.00186058025385938	0.0473498162029418	3.86019222209377e-06	NA	2.89168688993868e-12	0	0	0.99965320521334	0.0376869487051399	4.89301150707888e-08	0.218445337597274	0.255735721462873	0.0175516908172546	0.000249190566388169
"RURPOPDIF.00.10.rel"	0.126100286889092	0.185342570418154	0.000123625947462624	2.89168688993868e-12	NA	2.58407796489557e-05	5.84938648628963e-08	0.251831322866015	0.476165497564626	1.36826343588581e-07	0.791953756869856	0.777090034557848	0.0308252440238006	0.0126298316501101
"URBPOPDIF.00.10.rel"	0.0114186225829971	0.217023843073402	0.00077089892585569	0	2.58407796489557e-05	NA	2.22044604925031e-16	0.46838297966555	0.121979369331721	5.71587221998016e-12	0.228116317858033	0.117143685695958	0.00295882408349968	1.8278174267472e-06
"AGRIPOPDIF.00.10.rel"	0.017772081317339	0.104432827829035	0.00144902363483768	0	5.84938648628963e-08	2.22044604925031e-16	NA	0.548446839103479	0.00728786715243057	9.5847774161939e-12	0.581741398236366	0.345157618708137	0.000396780408415953	0.000124348366870475
"BIOENDIFF.00.09.rel"	0.61888318674611	0.93169477956562	0.722343201865966	0.99965320521334	0.251831322866015	0.46838297966555	0.548446839103479	NA	0.109676020146513	0.74339666188916	0.205394178002441	0.483179550774934	0.0411405163723972	0.00150678920568281
"FUELSHAREDIF.00.10"	0.409398152387614	0.141406452993532	0.682721489317389	0.0376869487051399	0.476165497564626	0.121979369331721	0.00728786715243057	0.109676020146513	NA	0.516769722408425	0.196261955067195	0.0780477144179588	0.0370954198194158	0.201909399574649
"SOLIDFUELUSE.2010"	0.0681222916522484	0.700578862537048	0.077631226415342	4.89301150707888e-08	1.36826343588581e-07	5.71587221998016e-12	9.5847774161939e-12	0.74339666188916	0.516769722408425	NA	0.348383592606965	0.63502027768364	0.00244850258492368	1.55890438113815e-07
"FOREXSHAREDIF.00.10"	0.692313191080405	0.474158396474226	0.907169274722939	0.218445337597274	0.791953756869856	0.228116317858033	0.581741398236366	0.205394178002441	0.196261955067195	0.348383592606965	NA	0.743715671415528	0.848195856117145	0.553593631660913
"ROAD.CHANGE.00.10.rel"	0.571886972561304	0.227332288464747	0.479250901735875	0.255735721462873	0.777090034557848	0.117143685695958	0.345157618708137	0.483179550774934	0.0780477144179588	0.63502027768364	0.743715671415528	NA	0.143728822908924	0.179020062024437
"GDPGROWTHAV.00.10"	0.0946944491803126	0.505291350489235	0.550004929245127	0.0175516908172546	0.0308252440238006	0.00295882408349968	0.000396780408415953	0.0411405163723972	0.0370954198194158	0.00244850258492368	0.848195856117145	0.143728822908924	NA	1.85808262056497e-05
"CPI2012"	0.0116872770991505	0.552005948096301	0.0383423320283209	0.000249190566388169	0.0126298316501101	1.8278174267472e-06	0.000124348366870475	0.00150678920568281	0.201909399574649	1.55890438113815e-07	0.553593631660913	0.179020062024437	1.85808262056497e-05	NA
